om,yr,mo,dy,date,time,tz,st,stf,stn,mag,inj,fat,loss,closs,slat,slon,elat,elon,len,wid,ns,sn,sg,f1,f2,f3,f4,edat,etime
2501051437-01,2025,01,05,2025-01-05,14:37:00,3,MS,28,0,1.00,0,0,10000,0,33.1000,-91.1000,33.1000,-91.1000,0,0,0,0,0,151,0,0,0,2025-01-05,14:37:00
2501191224-01,2025,01,19,2025-01-19,12:24:00,3,FL,12,0,1.00,0,0,0,0,28.4100,-80.8200,28.4100,-80.8200,0,0,0,0,0,9,0,0,0,2025-01-19,12:24:00
2501191230-01,2025,01,19,2025-01-19,12:30:00,3,FL,12,0,1.00,0,0,0,0,28.4100,-80.7100,28.4100,-80.7100,0,0,0,0,0,9,0,0,0,2025-01-19,12:30:00
2501300515-01,2025,01,30,2025-01-30,05:15:00,3,NE,31,0,0.75,0,0,0,0,40.2500,-101.5300,40.2500,-101.5300,0,0,0,0,0,57,0,0,0,2025-01-30,05:15:00
2502052346-01,2025,02,05,2025-02-05,23:46:00,3,KY,21,0,1.00,0,0,0,0,37.7605,-84.9533,37.7605,-84.9533,0,0,0,0,0,167,0,0,0,2025-02-05,23:46:00
2502052354-01,2025,02,05,2025-02-05,23:54:00,3,KY,21,0,1.75,0,0,0,0,37.7500,-84.7700,37.7500,-84.7700,0,0,0,0,0,167,0,0,0,2025-02-05,23:54:00
2502061431-01,2025,02,06,2025-02-06,14:31:00,3,KY,21,0,0.88,0,0,0,0,36.8209,-87.4011,36.8209,-87.4011,0,0,0,0,0,47,0,0,0,2025-02-06,14:31:00
2502061440-01,2025,02,06,2025-02-06,14:40:00,3,IL,17,0,0.75,0,0,0,0,37.8100,-88.4300,37.8100,-88.4300,0,0,0,0,0,165,0,0,0,2025-02-06,14:40:00
2502061611-01,2025,02,06,2025-02-06,16:11:00,3,KY,21,0,1.75,0,0,0,0,36.9842,-82.9860,36.9842,-82.9860,0,0,0,0,0,95,0,0,0,2025-02-06,16:11:00
2502061855-01,2025,02,06,2025-02-06,18:55:00,3,TN,47,0,1.00,0,0,25000,0,36.2085,-85.0253,36.2085,-85.0253,0,0,0,0,0,49,0,0,0,2025-02-06,18:58:00
2502061902-01,2025,02,06,2025-02-06,19:02:00,3,KY,21,0,1.00,0,0,0,0,37.2570,-82.6012,37.2570,-82.6012,0,0,0,0,0,195,0,0,0,2025-02-06,19:02:00
2502062025-01,2025,02,06,2025-02-06,20:25:00,3,TN,47,0,1.25,0,0,0,0,36.3700,-83.4400,36.3700,-83.4400,0,0,0,0,0,57,0,0,0,2025-02-06,20:25:00
2502062040-01,2025,02,06,2025-02-06,20:40:00,3,TN,47,0,1.75,0,0,0,0,35.9700,-83.6100,35.9700,-83.6100,0,0,0,0,0,155,0,0,0,2025-02-06,20:40:00
2502062050-01,2025,02,06,2025-02-06,20:50:00,3,TN,47,0,1.00,0,0,0,0,35.9200,-83.3100,35.9200,-83.3100,0,0,0,0,0,89,0,0,0,2025-02-06,20:50:00
2502062100-01,2025,02,06,2025-02-06,21:00:00,3,TN,47,0,1.75,0,0,0,0,35.9500,-83.2000,35.9500,-83.2000,0,0,0,0,0,29,0,0,0,2025-02-06,21:00:00
2502062149-01,2025,02,06,2025-02-06,21:49:00,3,NC,37,0,1.50,0,0,0,0,35.7210,-82.7330,35.7210,-82.7330,0,0,0,0,0,115,0,0,0,2025-02-06,21:49:00
2502062150-01,2025,02,06,2025-02-06,21:50:00,3,NC,37,0,0.75,0,0,0,0,35.7230,-82.7020,35.7230,-82.7020,0,0,0,0,0,21,0,0,0,2025-02-06,21:50:00
2502062202-01,2025,02,06,2025-02-06,22:02:00,3,TN,47,0,1.00,0,0,0,0,35.8800,-83.1900,35.8800,-83.1900,0,0,0,0,0,29,0,0,0,2025-02-06,22:02:00
2502120205-01,2025,02,12,2025-02-12,02:05:00,3,TX,48,0,1.00,0,0,0,0,30.0500,-97.6900,30.0500,-97.6900,0,0,0,0,0,453,0,0,0,2025-02-12,02:05:00
2502120210-01,2025,02,12,2025-02-12,02:10:00,3,TX,48,0,1.00,0,0,0,0,30.1500,-97.5900,30.1500,-97.5900,0,0,0,0,0,453,0,0,0,2025-02-12,02:10:00
2502151800-01,2025,02,15,2025-02-15,18:00:00,3,TN,47,0,1.00,0,0,0,0,36.0300,-89.3800,36.0300,-89.3800,0,0,0,0,0,45,0,0,0,2025-02-15,18:05:00
2502151818-01,2025,02,15,2025-02-15,18:18:00,3,TN,47,0,1.75,0,0,0,0,35.4710,-89.9223,35.4710,-89.9223,0,0,0,0,0,167,0,0,0,2025-02-15,18:23:00
2502151859-01,2025,02,15,2025-02-15,18:59:00,3,TN,47,0,1.00,0,0,0,0,36.0700,-88.9900,36.0700,-88.9900,0,0,0,0,0,53,0,0,0,2025-02-15,19:04:00
2502151913-01,2025,02,15,2025-02-15,19:13:00,3,TN,47,0,1.00,0,0,0,0,36.1600,-88.8000,36.1600,-88.8000,0,0,0,0,0,183,0,0,0,2025-02-15,19:18:00
2502151915-01,2025,02,15,2025-02-15,19:15:00,3,TN,47,0,1.75,0,0,0,0,35.9800,-88.9400,35.9800,-88.9400,0,0,0,0,0,53,0,0,0,2025-02-15,19:20:00
2502151920-01,2025,02,15,2025-02-15,19:20:00,3,TN,47,0,1.75,0,0,0,0,35.9392,-88.8480,35.9392,-88.8480,0,0,0,0,0,53,0,0,0,2025-02-15,19:25:00
2502151925-01,2025,02,15,2025-02-15,19:25:00,3,TN,47,0,0.88,0,0,0,0,35.9400,-88.8200,35.9400,-88.8200,0,0,0,0,0,53,0,0,0,2025-02-15,19:30:00
2502151940-01,2025,02,15,2025-02-15,19:40:00,3,TN,47,0,1.00,0,0,0,0,36.3000,-88.3100,36.3000,-88.3100,0,0,0,0,0,79,0,0,0,2025-02-15,19:45:00
2502151940-02,2025,02,15,2025-02-15,19:40:00,3,TN,47,0,1.00,0,0,0,0,36.2995,-88.3256,36.2995,-88.3256,0,0,0,0,0,79,0,0,0,2025-02-15,19:45:00
2502151945-01,2025,02,15,2025-02-15,19:45:00,3,TN,47,0,1.00,0,0,0,0,36.3000,-88.3600,36.3000,-88.3600,0,0,0,0,0,79,0,0,0,2025-02-15,19:50:00
2502152028-01,2025,02,15,2025-02-15,20:28:00,3,TN,47,0,1.00,0,0,0,0,36.5568,-87.7345,36.5568,-87.7345,0,0,0,0,0,161,0,0,0,2025-02-15,20:28:00
2502152040-01,2025,02,15,2025-02-15,20:40:00,3,TN,47,0,1.00,0,0,0,0,36.0500,-88.1000,36.0500,-88.1000,0,0,0,0,0,5,0,0,0,2025-02-15,20:45:00
2502152041-01,2025,02,15,2025-02-15,20:41:00,3,MS,28,0,1.00,0,0,0,0,34.1182,-89.9113,34.1182,-89.9113,0,0,0,0,0,161,0,0,0,2025-02-15,20:45:00
2502152132-01,2025,02,15,2025-02-15,21:32:00,3,TN,47,0,1.00,0,0,0,0,36.2300,-87.4500,36.2300,-87.4500,0,0,0,0,0,43,0,0,0,2025-02-15,21:32:00
2502152140-01,2025,02,15,2025-02-15,21:40:00,3,KY,21,0,1.00,0,0,0,0,36.8500,-86.7000,36.8500,-86.7000,0,0,0,0,0,141,0,0,0,2025-02-15,21:40:00
2502152215-01,2025,02,15,2025-02-15,22:15:00,3,TN,47,0,0.88,0,0,0,0,36.3095,-86.8600,36.3095,-86.8600,0,0,0,0,0,37,0,0,0,2025-02-15,22:15:00
2502160341-01,2025,02,16,2025-02-16,03:41:00,3,GA,13,0,1.00,0,0,0,0,33.4824,-84.5325,33.4824,-84.5325,0,0,0,0,0,113,0,0,0,2025-02-16,03:42:00
2502241944-01,2025,02,24,2025-02-24,19:44:00,3,OR,41,0,1.00,0,0,0,0,45.1100,-122.6400,45.1361,-122.5981,0,0,0,0,0,5,0,0,0,2025-02-24,20:00:00
2502261848-01,2025,02,26,2025-02-26,18:48:00,3,IL,17,0,1.00,0,0,0,0,38.4200,-87.7600,38.4200,-87.7600,0,0,0,0,0,185,0,0,0,2025-02-26,18:48:00
2502261910-01,2025,02,26,2025-02-26,19:10:00,3,IN,18,0,1.00,0,0,0,0,38.4700,-87.5700,38.4700,-87.5700,0,0,0,0,0,51,0,0,0,2025-02-26,19:10:00
2502271413-01,2025,02,27,2025-02-27,14:13:00,3,OH,39,0,0.75,0,0,0,0,39.8100,-84.0600,39.8100,-84.0600,0,0,0,0,0,57,0,0,0,2025-02-27,14:15:00
2502271417-01,2025,02,27,2025-02-27,14:17:00,3,OH,39,0,0.75,0,0,0,0,39.7700,-84.0300,39.7700,-84.0300,0,0,0,0,0,57,0,0,0,2025-02-27,14:19:00
2502271510-01,2025,02,27,2025-02-27,15:10:00,3,OH,39,0,1.00,0,0,0,0,39.6400,-84.2900,39.6400,-84.2900,0,0,0,0,0,113,0,0,0,2025-02-27,15:12:00
2502271520-01,2025,02,27,2025-02-27,15:20:00,3,OH,39,0,1.00,0,0,0,0,39.5500,-84.2000,39.5500,-84.2000,0,0,0,0,0,165,0,0,0,2025-02-27,15:22:00
2502271530-01,2025,02,27,2025-02-27,15:30:00,3,KY,21,0,0.75,0,0,0,0,38.9499,-84.6767,38.9499,-84.6767,0,0,0,0,0,15,0,0,0,2025-02-27,15:32:00
2502271610-01,2025,02,27,2025-02-27,16:10:00,3,OH,39,0,1.00,0,0,0,0,39.9622,-82.8623,39.9622,-82.8623,0,0,0,0,0,49,0,0,0,2025-02-27,16:12:00
2502271625-01,2025,02,27,2025-02-27,16:25:00,3,OH,39,0,0.75,0,0,0,0,39.8700,-83.0400,39.8700,-83.0400,0,0,0,0,0,49,0,0,0,2025-02-27,16:27:00
2502271646-01,2025,02,27,2025-02-27,16:46:00,3,OH,39,0,1.00,0,0,0,0,39.5300,-84.0900,39.5300,-84.0900,0,0,0,0,0,165,0,0,0,2025-02-27,16:48:00
2503021415-01,2025,03,02,2025-03-02,14:15:00,3,TX,48,0,1.00,0,0,0,0,34.3867,-100.0866,34.3867,-100.0866,0,0,0,0,0,75,0,0,0,2025-03-02,14:15:00
2503021555-01,2025,03,02,2025-03-02,15:55:00,3,TX,48,0,0.75,0,0,0,0,34.3000,-99.7400,34.3000,-99.7400,0,0,0,0,0,197,0,0,0,2025-03-02,15:55:00
2503032144-01,2025,03,03,2025-03-03,21:44:00,3,OK,40,0,1.00,0,0,0,0,35.7400,-99.3500,35.7400,-99.3500,0,0,0,0,0,39,0,0,0,2025-03-03,21:44:00
2503032148-01,2025,03,03,2025-03-03,21:48:00,3,OK,40,0,1.00,0,0,0,0,35.5517,-99.3770,35.5517,-99.3770,0,0,0,0,0,129,0,0,0,2025-03-03,21:48:00
2503032200-01,2025,03,03,2025-03-03,22:00:00,3,KS,20,0,1.00,0,0,0,0,37.6700,-98.5400,37.6700,-98.5400,0,0,0,0,0,151,0,0,0,2025-03-03,22:00:00
2503032246-01,2025,03,03,2025-03-03,22:46:00,3,OK,40,0,0.75,0,0,0,0,34.8722,-99.5124,34.8722,-99.5124,0,0,0,0,0,55,0,0,0,2025-03-03,22:46:00
2503040205-01,2025,03,04,2025-03-04,02:05:00,3,OK,40,0,1.00,0,0,0,0,35.5700,-97.2900,35.5700,-97.2900,0,0,0,0,0,109,0,0,0,2025-03-04,02:05:00
2503040241-01,2025,03,04,2025-03-04,02:41:00,3,TX,48,0,1.00,0,0,0,0,31.2400,-100.4800,31.2400,-100.4800,0,0,0,0,0,451,0,0,0,2025-03-04,02:41:00
2503040411-01,2025,03,04,2025-03-04,04:11:00,3,TX,48,0,1.00,0,0,0,0,31.2200,-99.2100,31.2200,-99.2100,0,0,0,0,0,307,0,0,0,2025-03-04,04:11:00
2503040446-01,2025,03,04,2025-03-04,04:46:00,3,TX,48,0,1.00,0,0,0,0,33.1200,-97.6600,33.1200,-97.6600,0,0,0,0,0,497,0,0,0,2025-03-04,04:46:00
2503040503-01,2025,03,04,2025-03-04,05:03:00,3,TX,48,0,1.00,0,0,0,0,32.9200,-97.4100,32.9200,-97.4100,0,0,0,0,0,439,0,0,0,2025-03-04,05:03:00
2503040503-02,2025,03,04,2025-03-04,05:03:00,3,TX,48,0,1.00,0,0,0,0,32.6500,-97.6400,32.6500,-97.6400,0,0,0,0,0,367,0,0,0,2025-03-04,05:03:00
2503040537-01,2025,03,04,2025-03-04,05:37:00,3,TX,48,0,1.00,0,0,0,0,32.8600,-96.7000,32.8600,-96.7000,0,0,0,0,0,113,0,0,0,2025-03-04,05:37:00
2503040554-01,2025,03,04,2025-03-04,05:54:00,3,TX,48,0,1.00,0,0,0,0,33.5200,-96.4800,33.5200,-96.4800,0,0,0,0,0,181,0,0,0,2025-03-04,05:54:00
2503040605-01,2025,03,04,2025-03-04,06:05:00,3,TX,48,0,1.00,0,0,0,0,33.6100,-96.4100,33.6100,-96.4100,0,0,0,0,0,181,0,0,0,2025-03-04,06:05:00
2503040730-01,2025,03,04,2025-03-04,07:30:00,3,TX,48,0,3.00,0,0,200000,0,31.8600,-95.5400,31.8600,-95.5400,0,0,0,0,0,1,0,0,0,2025-03-04,07:30:00
2503080443-01,2025,03,08,2025-03-08,04:43:00,3,TX,48,0,1.25,0,0,0,0,32.3200,-97.4100,32.3200,-97.4100,0,0,0,0,0,251,0,0,0,2025-03-08,04:43:00
2503080445-01,2025,03,08,2025-03-08,04:45:00,3,TX,48,0,1.00,0,0,0,0,32.3200,-97.3900,32.3200,-97.3900,0,0,0,0,0,251,0,0,0,2025-03-08,04:45:00
2503080445-02,2025,03,08,2025-03-08,04:45:00,3,TX,48,0,1.00,0,0,0,0,32.3200,-97.3900,32.3200,-97.3900,0,0,0,0,0,251,0,0,0,2025-03-08,04:45:00
2503080445-03,2025,03,08,2025-03-08,04:45:00,3,TX,48,0,1.00,0,0,0,0,32.3200,-97.3900,32.3200,-97.3900,0,0,0,0,0,251,0,0,0,2025-03-08,04:45:00
2503080455-01,2025,03,08,2025-03-08,04:55:00,3,TX,48,0,1.25,0,0,0,0,32.3000,-97.2300,32.3000,-97.2300,0,0,0,0,0,251,0,0,0,2025-03-08,04:55:00
2503080515-01,2025,03,08,2025-03-08,05:15:00,3,TX,48,0,1.25,0,0,0,0,32.3400,-96.9300,32.3400,-96.9300,0,0,0,0,0,139,0,0,0,2025-03-08,05:15:00
2503080520-01,2025,03,08,2025-03-08,05:20:00,3,TX,48,0,1.25,0,0,0,0,32.4700,-97.7400,32.4700,-97.7400,0,0,0,0,0,221,0,0,0,2025-03-08,05:20:00
2503080530-01,2025,03,08,2025-03-08,05:30:00,3,TX,48,0,1.00,0,0,0,0,32.4700,-97.5500,32.4700,-97.5500,0,0,0,0,0,251,0,0,0,2025-03-08,05:30:00
2503080548-01,2025,03,08,2025-03-08,05:48:00,3,TX,48,0,1.00,0,0,0,0,32.5700,-97.3300,32.5700,-97.3300,0,0,0,0,0,439,0,0,0,2025-03-08,05:48:00
2503080549-01,2025,03,08,2025-03-08,05:49:00,3,TX,48,0,1.25,0,0,0,0,32.5600,-97.3500,32.5600,-97.3500,0,0,0,0,0,439,0,0,0,2025-03-08,05:49:00
2503080550-01,2025,03,08,2025-03-08,05:50:00,3,TX,48,0,1.75,0,0,7000,0,32.5600,-97.3200,32.5600,-97.3200,0,0,0,0,0,439,0,0,0,2025-03-08,05:50:00
2503080551-01,2025,03,08,2025-03-08,05:51:00,3,TX,48,0,1.25,0,0,0,0,32.5300,-97.3300,32.5300,-97.3300,0,0,0,0,0,251,0,0,0,2025-03-08,05:51:00
2503080554-01,2025,03,08,2025-03-08,05:54:00,3,TX,48,0,1.00,0,0,0,0,32.5700,-97.3200,32.5700,-97.3200,0,0,0,0,0,439,0,0,0,2025-03-08,05:54:00
2503080555-01,2025,03,08,2025-03-08,05:55:00,3,TX,48,0,1.00,0,0,0,0,32.5700,-97.2200,32.5700,-97.2200,0,0,0,0,0,439,0,0,0,2025-03-08,05:55:00
2503080605-01,2025,03,08,2025-03-08,06:05:00,3,TX,48,0,1.75,0,0,7000,0,32.5800,-97.1000,32.5800,-97.1000,0,0,0,0,0,439,0,0,0,2025-03-08,06:05:00
2503080607-01,2025,03,08,2025-03-08,06:07:00,3,TX,48,0,1.25,0,0,0,0,32.6000,-97.1000,32.6000,-97.1000,0,0,0,0,0,439,0,0,0,2025-03-08,06:07:00
2503080609-01,2025,03,08,2025-03-08,06:09:00,3,TX,48,0,1.25,0,0,0,0,32.6100,-97.1000,32.6100,-97.1000,0,0,0,0,0,439,0,0,0,2025-03-08,06:09:00
2503080622-01,2025,03,08,2025-03-08,06:22:00,3,TX,48,0,1.00,0,0,0,0,32.6100,-96.8700,32.6100,-96.8700,0,0,0,0,0,113,0,0,0,2025-03-08,06:22:00
2503080626-01,2025,03,08,2025-03-08,06:26:00,3,TX,48,0,1.00,0,0,0,0,32.6100,-96.8600,32.6100,-96.8600,0,0,0,0,0,113,0,0,0,2025-03-08,06:26:00
2503080707-01,2025,03,08,2025-03-08,07:07:00,3,TX,48,0,0.75,0,0,0,0,33.0200,-96.5900,33.0200,-96.5900,0,0,0,0,0,85,0,0,0,2025-03-08,07:07:00
2503080723-01,2025,03,08,2025-03-08,07:23:00,3,TX,48,0,1.00,0,0,0,0,33.0800,-96.5000,33.0800,-96.5000,0,0,0,0,0,85,0,0,0,2025-03-08,07:23:00
2503080907-01,2025,03,08,2025-03-08,09:07:00,3,TX,48,0,0.75,0,0,0,0,33.1700,-94.9800,33.1700,-94.9800,0,0,0,0,0,449,0,0,0,2025-03-08,09:07:00
2503081333-01,2025,03,08,2025-03-08,13:33:00,3,TX,48,0,0.75,0,0,0,0,32.4600,-94.7300,32.4600,-94.7300,0,0,0,0,0,183,0,0,0,2025-03-08,13:33:00
2503081729-01,2025,03,08,2025-03-08,17:29:00,3,TX,48,0,1.00,0,0,0,0,30.7522,-95.2395,30.7522,-95.2395,0,0,0,0,0,407,0,0,0,2025-03-08,17:29:00
2503081731-01,2025,03,08,2025-03-08,17:31:00,3,TX,48,0,1.00,0,0,0,0,30.7500,-95.2200,30.7500,-95.2200,0,0,0,0,0,407,0,0,0,2025-03-08,17:31:00
2503081747-01,2025,03,08,2025-03-08,17:47:00,3,TX,48,0,1.50,0,0,0,0,30.7400,-95.0800,30.7400,-95.0800,0,0,0,0,0,373,0,0,0,2025-03-08,17:47:00
2503081800-01,2025,03,08,2025-03-08,18:00:00,3,TX,48,0,1.00,0,0,0,0,30.6700,-95.0100,30.6700,-95.0100,0,0,0,0,0,373,0,0,0,2025-03-08,18:00:00
2503081805-01,2025,03,08,2025-03-08,18:05:00,3,TX,48,0,1.00,0,0,0,0,30.7100,-94.9500,30.7100,-94.9500,0,0,0,0,0,373,0,0,0,2025-03-08,18:05:00
2503081820-01,2025,03,08,2025-03-08,18:20:00,3,TX,48,0,1.25,0,0,0,0,30.6900,-94.9000,30.6900,-94.9000,0,0,0,0,0,373,0,0,0,2025-03-08,18:20:00
2503082050-01,2025,03,08,2025-03-08,20:50:00,3,LA,22,0,1.00,0,0,0,0,30.2300,-93.3200,30.2300,-93.3200,0,0,0,0,0,19,0,0,0,2025-03-08,20:50:00
2503082156-01,2025,03,08,2025-03-08,21:56:00,3,LA,22,0,1.25,0,0,0,0,30.2500,-93.2600,30.2500,-93.2600,0,0,0,0,0,19,0,0,0,2025-03-08,21:56:00
2503082202-01,2025,03,08,2025-03-08,22:02:00,3,AL,01,0,1.50,0,0,0,0,30.3700,-88.1200,30.3700,-88.1200,0,0,0,0,0,97,0,0,0,2025-03-08,22:02:00
2503090327-01,2025,03,09,2025-03-09,03:27:00,3,MS,28,0,1.00,0,0,500,0,31.4900,-90.5700,31.4900,-90.5700,0,0,0,0,0,85,0,0,0,2025-03-09,03:27:00
2503090837-01,2025,03,09,2025-03-09,08:37:00,3,MS,28,0,1.75,0,0,5000,0,31.4900,-90.5700,31.4900,-90.5700,0,0,0,0,0,85,0,0,0,2025-03-09,08:38:00
2503090903-01,2025,03,09,2025-03-09,09:03:00,3,MS,28,0,1.00,0,0,500,0,31.5566,-90.2088,31.5566,-90.2088,0,0,0,0,0,77,0,0,0,2025-03-09,09:03:00
2503091144-01,2025,03,09,2025-03-09,11:44:00,3,AL,01,0,0.88,0,0,0,0,32.6741,-86.4909,32.6741,-86.4909,0,0,0,0,0,1,0,0,0,2025-03-09,11:49:00
2503091340-01,2025,03,09,2025-03-09,13:40:00,3,FL,12,0,0.88,0,0,0,0,30.3800,-86.3800,30.3800,-86.3800,0,0,0,0,0,131,0,0,0,2025-03-09,13:40:00
2503091340-02,2025,03,09,2025-03-09,13:40:00,3,FL,12,0,0.75,0,0,0,0,30.3800,-86.3600,30.3800,-86.3600,0,0,0,0,0,131,0,0,0,2025-03-09,13:40:00
2503091340-03,2025,03,09,2025-03-09,13:40:00,3,FL,12,0,1.00,0,0,0,0,30.3700,-86.3600,30.3700,-86.3600,0,0,0,0,0,131,0,0,0,2025-03-09,13:40:00
2503121651-01,2025,03,12,2025-03-12,16:51:00,3,TX,48,0,0.75,0,0,0,0,32.1200,-96.2200,32.1200,-96.2200,0,0,0,0,0,349,0,0,0,2025-03-12,16:51:00
2503121712-01,2025,03,12,2025-03-12,17:12:00,3,TX,48,0,0.75,0,0,0,0,32.1700,-96.0100,32.1700,-96.0100,0,0,0,0,0,213,0,0,0,2025-03-12,17:12:00
2503122247-01,2025,03,12,2025-03-12,22:47:00,3,AR,05,0,0.88,0,0,0,0,34.5900,-92.5300,34.5900,-92.5300,0,0,0,0,0,125,0,0,0,2025-03-12,22:47:00
2503122354-01,2025,03,12,2025-03-12,23:54:00,3,AR,05,0,1.00,0,0,0,0,34.7900,-91.9000,34.7900,-91.9000,0,0,0,0,0,85,0,0,0,2025-03-12,23:54:00
2503130205-01,2025,03,13,2025-03-13,02:05:00,3,AR,05,0,0.88,0,0,0,0,35.2100,-91.6100,35.2100,-91.6100,0,0,0,0,0,145,0,0,0,2025-03-13,02:05:00
2503130715-01,2025,03,13,2025-03-13,07:15:00,3,AL,01,0,0.88,0,0,0,0,33.9400,-87.8235,33.9400,-87.8235,0,0,0,0,0,93,0,0,0,2025-03-13,07:19:00
2503130739-01,2025,03,13,2025-03-13,07:39:00,3,AL,01,0,0.88,0,0,0,0,33.9231,-87.6193,33.9231,-87.6193,0,0,0,0,0,127,0,0,0,2025-03-13,07:43:00
2503131158-01,2025,03,13,2025-03-13,11:58:00,3,AL,01,0,0.88,0,0,0,0,31.0700,-85.7500,31.0700,-85.7500,0,0,0,0,0,61,0,0,0,2025-03-13,11:58:00
2503131231-01,2025,03,13,2025-03-13,12:31:00,3,AL,01,0,0.75,0,0,0,0,31.0500,-85.3000,31.0500,-85.3000,0,0,0,0,0,69,0,0,0,2025-03-13,12:31:00
2503131345-01,2025,03,13,2025-03-13,13:45:00,3,GA,13,0,1.00,0,0,1000,0,32.1500,-84.5400,32.1500,-84.5400,0,0,0,0,0,307,0,0,0,2025-03-13,13:47:00
2503131425-01,2025,03,13,2025-03-13,14:25:00,3,AL,01,0,1.00,0,0,0,0,34.5573,-88.1139,34.5573,-88.1139,0,0,0,0,0,59,0,0,0,2025-03-13,14:25:00
2503131450-01,2025,03,13,2025-03-13,14:50:00,3,AL,01,0,0.88,0,0,0,0,34.9281,-87.6453,34.9281,-87.6453,0,0,0,0,0,77,0,0,0,2025-03-13,14:50:00
2503131512-01,2025,03,13,2025-03-13,15:12:00,3,AL,01,0,0.75,0,0,0,0,34.5600,-87.4200,34.5600,-87.4200,0,0,0,0,0,79,0,0,0,2025-03-13,15:12:00
2503131522-01,2025,03,13,2025-03-13,15:22:00,3,KY,21,0,1.00,0,0,0,0,38.1212,-85.6353,38.1212,-85.6353,0,0,0,0,0,111,0,0,0,2025-03-13,15:22:00
2503131550-01,2025,03,13,2025-03-13,15:50:00,3,AL,01,0,1.00,0,0,0,0,31.1700,-86.0500,31.1700,-86.0500,0,0,0,0,0,61,0,0,0,2025-03-13,15:50:00
2503131605-01,2025,03,13,2025-03-13,16:05:00,3,AL,01,0,1.00,0,0,0,0,31.2400,-85.4600,31.2400,-85.4600,0,0,0,0,0,69,0,0,0,2025-03-13,16:05:00
2503131606-01,2025,03,13,2025-03-13,16:06:00,3,KY,21,0,1.00,0,0,0,0,36.7900,-85.3700,36.7900,-85.3700,0,0,0,0,0,57,0,0,0,2025-03-13,16:06:00
2503131617-01,2025,03,13,2025-03-13,16:17:00,3,AL,01,0,1.25,0,0,0,0,34.5700,-88.1400,34.5700,-88.1400,0,0,0,0,0,59,0,0,0,2025-03-13,16:17:00
2503131618-01,2025,03,13,2025-03-13,16:18:00,3,AL,01,0,0.88,0,0,0,0,31.4300,-85.6300,31.4300,-85.6300,0,0,0,0,0,45,0,0,0,2025-03-13,16:18:00
2503131625-01,2025,03,13,2025-03-13,16:25:00,3,AL,01,0,1.50,0,0,0,0,31.2100,-85.4000,31.2100,-85.4000,0,0,0,0,0,69,0,0,0,2025-03-13,16:25:00
2503131629-01,2025,03,13,2025-03-13,16:29:00,3,AL,01,0,1.25,0,0,0,0,34.3500,-87.5500,34.3500,-87.5500,0,0,0,0,0,59,0,0,0,2025-03-13,16:29:00
2503131629-02,2025,03,13,2025-03-13,16:29:00,3,AL,01,0,1.25,0,0,0,0,34.3500,-87.5500,34.3500,-87.5500,0,0,0,0,0,59,0,0,0,2025-03-13,16:29:00
2503131630-01,2025,03,13,2025-03-13,16:30:00,3,AL,01,0,1.00,0,0,0,0,31.1300,-85.4000,31.1300,-85.4000,0,0,0,0,0,69,0,0,0,2025-03-13,16:30:00
2503131639-01,2025,03,13,2025-03-13,16:39:00,3,AL,01,0,1.00,0,0,0,0,31.0400,-85.8800,31.0400,-85.8800,0,0,0,0,0,61,0,0,0,2025-03-13,16:39:00
2503131733-01,2025,03,13,2025-03-13,17:33:00,3,AL,01,0,0.88,0,0,0,0,34.1793,-87.3476,34.1793,-87.3476,0,0,0,0,0,133,0,0,0,2025-03-13,17:37:00
2503132103-01,2025,03,13,2025-03-13,21:03:00,3,AL,01,0,1.00,0,0,0,0,34.4700,-87.8700,34.4700,-87.8700,0,0,0,0,0,59,0,0,0,2025-03-13,21:17:00
2503140608-01,2025,03,14,2025-03-14,06:08:00,3,WI,55,0,0.75,0,0,0,0,45.1500,-89.9900,45.1500,-89.9900,0,0,0,0,0,69,0,0,0,2025-03-14,06:09:00
2503140710-01,2025,03,14,2025-03-14,07:10:00,3,MN,27,0,0.88,0,0,0,0,47.0300,-91.6800,47.0300,-91.6800,0,0,0,0,0,75,0,0,0,2025-03-14,07:12:00
2503140720-01,2025,03,14,2025-03-14,07:20:00,3,WI,55,0,1.00,0,0,0,0,46.6007,-91.0353,46.6007,-91.0353,0,0,0,0,0,7,0,0,0,2025-03-14,07:22:00
2503140722-01,2025,03,14,2025-03-14,07:22:00,3,WI,55,0,1.00,0,0,0,0,46.5498,-90.9297,46.5498,-90.9297,0,0,0,0,0,7,0,0,0,2025-03-14,07:24:00
2503140726-01,2025,03,14,2025-03-14,07:26:00,3,WI,55,0,1.00,0,0,0,0,46.6479,-90.9779,46.6479,-90.9779,0,0,0,0,0,7,0,0,0,2025-03-14,07:28:00
2503140736-01,2025,03,14,2025-03-14,07:36:00,3,WI,55,0,1.00,0,0,0,0,46.6700,-90.9000,46.6700,-90.9000,0,0,0,0,0,7,0,0,0,2025-03-14,07:38:00
2503140738-01,2025,03,14,2025-03-14,07:38:00,3,WI,55,0,0.75,0,0,0,0,46.6700,-90.9000,46.6700,-90.9000,0,0,0,0,0,7,0,0,0,2025-03-14,07:40:00
2503140820-01,2025,03,14,2025-03-14,08:20:00,3,MI,26,0,0.75,0,0,0,0,45.9900,-88.0600,45.9900,-88.0600,0,0,0,0,0,43,0,0,0,2025-03-14,08:20:00
