om,yr,mo,dy,date,time,tz,st,stf,stn,mag,inj,fat,loss,closs,slat,slon,elat,elon,len,wid,ns,sn,sg,f1,f2,f3,f4,mt
752308,2024,01,06,2024-01-06,02:25:00,3,FL,12,0,50.0000,0,0,3000,0,29.8800,-84.5900,29.8800,-84.5900,0,0,0,0,0,37,0,0,0,EG
752309,2024,01,06,2024-01-06,02:27:00,3,FL,12,0,50.0000,0,0,2000,0,30.0700,-84.5000,30.0700,-84.5000,0,0,0,0,0,129,0,0,0,EG
752310,2024,01,06,2024-01-06,02:33:00,3,FL,12,0,50.0000,0,0,3000,0,30.2000,-84.2700,30.2000,-84.2700,0,0,0,0,0,129,0,0,0,EG
752311,2024,01,06,2024-01-06,02:55:00,3,FL,12,0,50.0000,0,0,3000,0,30.5200,-84.0000,30.5200,-84.0000,0,0,0,0,0,65,0,0,0,EG
752312,2024,01,06,2024-01-06,04:25:00,3,FL,12,0,50.0000,0,0,3000,0,30.1100,-83.5800,30.1100,-83.5800,0,0,0,0,0,123,0,0,0,EG
752313,2024,01,06,2024-01-06,05:00:00,3,FL,12,0,50.0000,0,0,2000,0,30.0000,-83.0300,30.0000,-83.0300,0,0,0,0,0,67,0,0,0,EG
752314,2024,01,08,2024-01-08,11:57:00,3,LA,22,0,50.0000,0,0,3000,0,29.9800,-93.3400,29.9800,-93.3400,0,0,0,0,0,23,0,0,0,EG
752315,2024,01,08,2024-01-08,12:32:00,3,TX,48,0,52.0000,0,0,0,0,31.4200,-93.9700,31.4200,-93.9700,0,0,0,0,0,403,0,0,0,EG
752316,2024,01,08,2024-01-08,14:05:00,3,TX,48,0,61.0000,0,0,5000,0,29.5014,-97.4528,29.5014,-97.4528,0,0,0,0,0,177,0,0,0,EG
752317,2024,01,08,2024-01-08,14:30:00,3,TX,48,0,61.0000,0,0,5000,0,29.5200,-97.4600,29.5200,-97.4600,0,0,0,0,0,177,0,0,0,EG
752318,2024,01,08,2024-01-08,15:06:00,3,TX,48,0,61.0000,0,0,5000,0,29.3049,-97.1542,29.3049,-97.1542,0,0,0,0,0,285,0,0,0,EG
752319,2024,01,08,2024-01-08,16:04:00,3,TX,48,0,50.0000,0,0,3000,0,30.9200,-94.4200,30.9200,-94.4200,0,0,0,0,0,457,0,0,0,EG
752320,2024,01,08,2024-01-08,16:05:00,3,TX,48,0,50.0000,0,0,0,0,30.2500,-94.6100,30.2500,-94.6100,0,0,0,0,0,199,0,0,0,EG
752321,2024,01,08,2024-01-08,16:30:00,3,TX,48,0,52.0000,0,0,0,0,29.8000,-95.4300,29.8000,-95.4300,0,0,0,0,0,201,0,0,0,EG
752322,2024,01,08,2024-01-08,16:38:00,3,TX,48,0,54.0000,0,0,0,0,29.6657,-95.3184,29.6657,-95.3184,0,0,0,0,0,201,0,0,0,EG
752323,2024,01,08,2024-01-08,16:47:00,3,TX,48,0,50.0000,0,0,2000,0,30.4700,-93.9600,30.4700,-93.9600,0,0,0,0,0,241,0,0,0,EG
752324,2024,01,08,2024-01-08,16:47:00,3,LA,22,0,57.0000,0,0,0,0,30.0000,-90.2500,30.0000,-90.2500,0,0,0,0,0,51,0,0,0,MG
752325,2024,01,08,2024-01-08,16:50:00,3,TX,48,0,52.0000,0,0,0,0,29.6743,-95.1981,29.6743,-95.1981,0,0,0,0,0,201,0,0,0,EG
752326,2024,01,08,2024-01-08,17:20:00,3,TX,48,0,50.0000,0,0,0,0,30.7300,-93.7200,30.7300,-93.7200,0,0,0,0,0,351,0,0,0,EG
752327,2024,01,08,2024-01-08,17:44:00,3,TX,48,0,55.0000,0,0,0,0,27.7000,-97.2700,27.7000,-97.2700,0,0,0,0,0,355,0,0,0,MG
752328,2024,01,08,2024-01-08,18:25:00,3,LA,22,0,50.0000,0,0,2000,0,30.4800,-93.3800,30.4800,-93.3800,0,0,0,0,0,11,0,0,0,EG
752329,2024,01,08,2024-01-08,18:41:00,3,MS,28,0,52.0000,0,0,0,0,30.7000,-89.1800,30.7000,-89.1800,0,0,0,0,0,131,0,0,0,EG
752330,2024,01,08,2024-01-08,18:50:00,3,AL,01,0,52.0000,0,0,0,0,30.6900,-88.1600,30.6900,-88.1600,0,0,0,0,0,97,0,0,0,EG
752331,2024,01,08,2024-01-08,19:00:00,3,TX,48,0,50.0000,0,0,0,0,30.3600,-94.6000,30.3600,-94.6000,0,0,0,0,0,199,0,0,0,EG
752332,2024,01,08,2024-01-08,19:25:00,3,MS,28,0,52.0000,0,0,0,0,30.8500,-88.5900,30.8500,-88.5900,0,0,0,0,0,39,0,0,0,EG
752333,2024,01,08,2024-01-08,19:27:00,3,MS,28,0,52.0000,0,0,0,0,30.8900,-88.5500,30.8900,-88.5500,0,0,0,0,0,39,0,0,0,EG
752334,2024,01,08,2024-01-08,22:05:00,3,MS,28,0,60.0000,0,0,15000,0,32.9380,-90.3650,32.9380,-90.3650,0,0,0,0,0,163,0,0,0,EG
752335,2024,01,09,2024-01-09,00:15:00,3,MS,28,0,45.0000,0,0,10000,0,31.1300,-89.4200,31.1300,-89.4200,0,0,0,0,0,73,0,0,0,EG
752336,2024,01,09,2024-01-09,00:25:00,3,MS,28,0,35.0000,0,0,1000,0,31.9700,-89.1720,31.9700,-89.1720,0,0,0,0,0,61,0,0,0,EG
752337,2024,01,09,2024-01-09,00:48:00,3,MS,28,0,45.0000,0,0,15000,0,31.3800,-89.3800,31.3800,-89.3800,0,0,0,0,0,35,0,0,0,EG
752338,2024,01,09,2024-01-09,00:53:00,3,MS,28,0,50.0000,0,0,0,5000,31.5100,-89.2400,31.5100,-89.2400,0,0,0,0,0,67,0,0,0,EG
752339,2024,01,09,2024-01-09,00:55:00,3,MS,28,0,45.0000,0,0,15000,0,31.3370,-89.3000,31.3370,-89.3000,0,0,0,0,0,35,0,0,0,EG
752340,2024,01,09,2024-01-09,01:19:00,3,LA,22,0,50.0000,0,0,5000,0,30.4700,-90.0400,30.4700,-90.0400,0,0,0,0,0,103,0,0,0,EG
752341,2024,01,09,2024-01-09,02:24:00,3,FL,12,0,54.0000,0,0,0,0,30.4700,-87.1900,30.4700,-87.1900,0,0,0,0,0,33,0,0,0,MG
752342,2024,01,09,2024-01-09,02:25:00,3,LA,22,0,50.0000,0,0,0,0,29.8700,-89.8200,29.8700,-89.8200,0,0,0,0,0,87,0,0,0,EG
752343,2024,01,09,2024-01-09,02:37:00,3,FL,12,0,50.0000,0,0,0,0,30.7000,-87.0200,30.7000,-87.0200,0,0,0,0,0,113,0,0,0,MG
752344,2024,01,09,2024-01-09,03:18:00,3,MS,28,0,51.0000,0,0,0,0,30.4100,-89.0700,30.4100,-89.0700,0,0,0,0,0,47,0,0,0,MG
752345,2024,01,09,2024-01-09,03:45:00,3,AL,01,0,52.0000,0,0,0,0,31.4900,-87.8800,31.4900,-87.8800,0,0,0,0,0,25,0,0,0,EG
752346,2024,01,09,2024-01-09,03:50:00,3,AL,01,0,52.0000,0,0,0,0,31.2400,-88.0100,31.2400,-88.0100,0,0,0,0,0,129,0,0,0,EG
752347,2024,01,09,2024-01-09,03:57:00,3,AL,01,0,52.0000,0,0,0,0,30.6400,-88.2400,30.6400,-88.2400,0,0,0,0,0,97,0,0,0,EG
752348,2024,01,09,2024-01-09,04:00:00,3,AL,01,0,52.0000,0,0,0,0,30.6600,-88.2100,30.6600,-88.2100,0,0,0,0,0,97,0,0,0,EG
752349,2024,01,09,2024-01-09,04:00:00,3,GA,13,0,39.0000,0,0,1000,0,33.3900,-85.1700,33.3900,-85.1700,0,0,0,0,0,149,0,0,0,EG
752350,2024,01,09,2024-01-09,04:05:00,3,AL,01,0,52.0000,0,0,0,0,30.7500,-88.1200,30.7500,-88.1200,0,0,0,0,0,97,0,0,0,EG
752351,2024,01,09,2024-01-09,04:09:00,3,AL,01,0,52.0000,0,0,0,0,30.6500,-88.1200,30.6500,-88.1200,0,0,0,0,0,97,0,0,0,EG
752352,2024,01,09,2024-01-09,04:26:00,3,AL,01,0,63.0000,0,0,0,0,30.5400,-87.8800,30.5400,-87.8800,0,0,0,0,0,3,0,0,0,MG
752353,2024,01,09,2024-01-09,04:28:00,3,FL,12,0,92.0000,0,0,0,0,30.3464,-86.2301,30.3464,-86.2301,0,0,0,0,0,131,0,0,0,MG
752354,2024,01,09,2024-01-09,04:33:00,3,FL,12,0,52.0000,0,0,0,0,30.4000,-86.2100,30.4000,-86.2100,0,0,0,0,0,131,0,0,0,MG
752355,2024,01,09,2024-01-09,04:47:00,3,AL,01,0,52.0000,0,0,0,0,30.5800,-87.7300,30.5800,-87.7300,0,0,0,0,0,3,0,0,0,EG
752356,2024,01,09,2024-01-09,04:53:00,3,AL,01,0,52.0000,0,0,0,0,30.5000,-87.7100,30.5000,-87.7100,0,0,0,0,0,3,0,0,0,EG
752357,2024,01,09,2024-01-09,04:55:00,3,FL,12,0,56.0000,0,0,2000,0,30.6800,-85.9800,30.6800,-85.9800,0,0,0,0,0,131,0,0,0,EG
752358,2024,01,09,2024-01-09,05:30:00,3,GA,13,0,39.0000,0,0,1000,0,32.9100,-84.9700,32.9100,-84.9700,0,0,0,0,0,285,0,0,0,EG
752359,2024,01,09,2024-01-09,05:34:00,3,FL,12,0,59.0000,0,0,0,0,30.1700,-85.7700,30.1700,-85.7700,0,0,0,0,0,5,0,0,0,MG
752360,2024,01,09,2024-01-09,05:34:00,3,FL,12,0,87.0000,0,0,0,0,30.8800,-87.0600,30.8800,-87.0600,0,0,0,0,0,113,0,0,0,EG
752361,2024,01,09,2024-01-09,05:35:00,3,FL,12,0,52.0000,2,0,0,0,30.4200,-87.3100,30.4200,-87.3100,0,0,0,0,0,33,0,0,0,EG
752362,2024,01,09,2024-01-09,05:37:00,3,FL,12,0,52.0000,0,0,0,0,30.8800,-87.0500,30.8800,-87.0500,0,0,0,0,0,113,0,0,0,EG
752363,2024,01,09,2024-01-09,05:38:00,3,AL,01,0,57.0000,0,0,0,0,31.2100,-85.4200,31.2100,-85.4200,0,0,0,0,0,69,0,0,0,MG
752364,2024,01,09,2024-01-09,05:41:00,3,FL,12,0,70.0000,0,0,0,0,30.1900,-85.7300,30.1900,-85.7300,0,0,0,0,0,5,0,0,0,MG
752365,2024,01,09,2024-01-09,05:42:00,3,FL,12,0,50.0000,0,0,0,0,30.4800,-87.1800,30.4800,-87.1800,0,0,0,0,0,33,0,0,0,MG
752366,2024,01,09,2024-01-09,05:44:00,3,FL,12,0,55.0000,0,0,0,0,30.2500,-85.6100,30.2500,-85.6100,0,0,0,0,0,5,0,0,0,MG
752367,2024,01,09,2024-01-09,05:50:00,3,FL,12,0,66.0000,0,0,0,0,30.4800,-87.2100,30.4800,-87.2100,0,0,0,0,0,33,0,0,0,MG
752368,2024,01,09,2024-01-09,06:05:00,3,AL,01,0,52.0000,0,0,0,0,31.4300,-86.4600,31.4300,-86.4600,0,0,0,0,0,39,0,0,0,EG
752369,2024,01,09,2024-01-09,06:05:00,3,FL,12,0,52.0000,0,0,0,0,30.4100,-86.8300,30.4100,-86.8300,0,0,0,0,0,113,0,0,0,EG
752370,2024,01,09,2024-01-09,06:06:00,3,FL,12,0,52.0000,0,0,0,0,30.4200,-86.8200,30.4200,-86.8200,0,0,0,0,0,113,0,0,0,EG
752371,2024,01,09,2024-01-09,06:08:00,3,FL,12,0,60.0000,0,0,0,0,30.4900,-85.4200,30.4900,-85.4200,0,0,0,0,0,5,0,0,0,EG
752372,2024,01,09,2024-01-09,06:10:00,3,FL,12,0,76.0000,0,0,0,0,30.3800,-86.8600,30.3800,-86.8600,0,0,0,0,0,113,0,0,0,MG
752373,2024,01,09,2024-01-09,06:10:00,3,FL,12,0,52.0000,0,0,0,0,30.3800,-86.8800,30.3800,-86.8800,0,0,0,0,0,113,0,0,0,EG
752374,2024,01,09,2024-01-09,06:39:00,3,FL,12,0,52.0000,0,0,0,0,30.3900,-86.4800,30.3900,-86.4800,0,0,0,0,0,91,0,0,0,EG
752375,2024,01,09,2024-01-09,06:40:00,3,AL,01,0,60.0000,0,0,0,0,31.4100,-86.0700,31.4100,-86.0700,0,0,0,0,0,31,0,0,0,EG
752376,2024,01,09,2024-01-09,06:49:00,3,FL,12,0,60.0000,0,0,2000,0,30.9500,-86.2900,30.9500,-86.2900,0,0,0,0,0,131,0,0,0,EG
752377,2024,01,09,2024-01-09,06:49:00,3,FL,12,0,60.0000,0,0,0,0,30.7100,-86.3800,30.7100,-86.3800,0,0,0,0,0,131,0,0,0,EG
752378,2024,01,09,2024-01-09,06:50:00,3,GA,13,0,50.0000,0,0,0,0,30.9600,-84.9500,30.9600,-84.9500,0,0,0,0,0,253,0,0,0,MG
752379,2024,01,09,2024-01-09,06:54:00,3,FL,12,0,60.0000,0,0,0,0,30.7400,-86.3200,30.7400,-86.3200,0,0,0,0,0,131,0,0,0,EG
752380,2024,01,09,2024-01-09,06:58:00,3,GA,13,0,53.0000,0,0,0,0,31.0400,-84.8800,31.0400,-84.8800,0,0,0,0,0,253,0,0,0,MG
752381,2024,01,09,2024-01-09,07:00:00,3,FL,12,0,60.0000,0,0,2000,0,30.3700,-86.2500,30.3700,-86.2500,0,0,0,0,0,131,0,0,0,EG
752382,2024,01,09,2024-01-09,07:00:00,3,FL,12,0,60.0000,0,0,1000,0,30.7600,-86.2500,30.7600,-86.2500,0,0,0,0,0,131,0,0,0,EG
752383,2024,01,09,2024-01-09,07:00:00,3,FL,12,0,60.0000,0,0,0,0,30.3600,-86.2300,30.3600,-86.2300,0,0,0,0,0,131,0,0,0,EG
752384,2024,01,09,2024-01-09,07:00:00,3,GA,13,0,39.0000,0,0,1000,0,33.6144,-84.8862,33.6144,-84.8862,0,0,0,0,0,97,0,0,0,EG
752385,2024,01,09,2024-01-09,07:04:00,3,FL,12,0,60.0000,0,0,0,0,30.6700,-86.1400,30.6700,-86.1400,0,0,0,0,0,131,0,0,0,EG
752386,2024,01,09,2024-01-09,07:05:00,3,FL,12,0,60.0000,0,0,3000,0,30.7200,-86.1400,30.7200,-86.1400,0,0,0,0,0,131,0,0,0,EG
752387,2024,01,09,2024-01-09,07:10:00,3,FL,12,0,60.0000,0,0,0,0,30.7800,-86.1200,30.7800,-86.1200,0,0,0,0,0,131,0,0,0,EG
752388,2024,01,09,2024-01-09,07:12:00,3,GA,13,0,60.0000,0,0,50000,0,31.1700,-84.7300,31.1700,-84.7300,0,0,0,0,0,201,0,0,0,EG
752389,2024,01,09,2024-01-09,07:12:00,3,GA,13,0,48.0000,0,0,1000,0,33.7129,-84.7532,33.7129,-84.7532,0,0,0,0,0,97,0,0,0,EG
752390,2024,01,09,2024-01-09,07:13:00,3,GA,13,0,52.0000,0,0,0,0,31.1728,-84.7387,31.1728,-84.7387,0,0,0,0,0,201,0,0,0,MG
752391,2024,01,09,2024-01-09,07:15:00,3,GA,13,0,39.0000,0,0,1000,0,33.6900,-84.7400,33.6900,-84.7400,0,0,0,0,0,97,0,0,0,EG
752392,2024,01,09,2024-01-09,07:16:00,3,FL,12,0,60.0000,0,0,3000,0,30.5100,-86.0300,30.5100,-86.0300,0,0,0,0,0,131,0,0,0,EG
752393,2024,01,09,2024-01-09,07:18:00,3,FL,12,0,60.0000,0,0,0,0,30.9800,-85.9600,30.9800,-85.9600,0,0,0,0,0,59,0,0,0,EG
752394,2024,01,09,2024-01-09,07:20:00,3,GA,13,0,39.0000,0,0,1000,0,33.7921,-84.6720,33.7921,-84.6720,0,0,0,0,0,97,0,0,0,EG
752395,2024,01,09,2024-01-09,07:23:00,3,AL,01,0,60.0000,0,0,10000,0,31.0300,-85.8700,31.0300,-85.8700,0,0,0,0,0,61,0,0,0,EG
752396,2024,01,09,2024-01-09,07:25:00,3,FL,12,0,60.0000,0,0,0,0,30.8300,-85.9100,30.8300,-85.9100,0,0,0,0,0,59,0,0,0,EG
752397,2024,01,09,2024-01-09,07:25:00,3,FL,12,0,60.0000,0,0,0,0,30.7200,-85.9100,30.7200,-85.9100,0,0,0,0,0,59,0,0,0,EG
752398,2024,01,09,2024-01-09,07:25:00,3,FL,12,0,60.0000,0,0,0,0,30.7600,-85.9300,30.7600,-85.9300,0,0,0,0,0,59,0,0,0,EG
752399,2024,01,09,2024-01-09,07:25:00,3,AL,01,0,60.0000,0,0,0,0,31.4400,-85.6400,31.4400,-85.6400,0,0,0,0,0,45,0,0,0,EG
752400,2024,01,09,2024-01-09,07:25:00,3,FL,12,0,60.0000,0,0,0,0,30.8400,-85.9400,30.8400,-85.9400,0,0,0,0,0,59,0,0,0,EG
752401,2024,01,09,2024-01-09,07:27:00,3,FL,12,0,60.0000,0,0,0,0,30.7400,-85.9000,30.7400,-85.9000,0,0,0,0,0,59,0,0,0,EG
752402,2024,01,09,2024-01-09,07:29:00,3,FL,12,0,60.0000,0,0,0,0,30.7900,-85.8900,30.7900,-85.8900,0,0,0,0,0,59,0,0,0,EG
752403,2024,01,09,2024-01-09,07:29:00,3,FL,12,0,60.0000,0,0,3000,0,30.6300,-85.8700,30.6300,-85.8700,0,0,0,0,0,133,0,0,0,EG
752404,2024,01,09,2024-01-09,07:30:00,3,FL,12,0,60.0000,0,0,5000,0,30.8300,-85.8400,30.8300,-85.8400,0,0,0,0,0,59,0,0,0,EG
752405,2024,01,09,2024-01-09,07:31:00,3,FL,12,0,60.0000,0,0,0,0,30.6400,-85.8400,30.6400,-85.8400,0,0,0,0,0,133,0,0,0,EG
752406,2024,01,09,2024-01-09,07:32:00,3,FL,12,0,60.0000,0,0,3000,0,30.6500,-85.8100,30.6500,-85.8100,0,0,0,0,0,133,0,0,0,EG
752407,2024,01,09,2024-01-09,07:33:00,3,FL,12,0,60.0000,0,0,0,0,30.7900,-85.8000,30.7900,-85.8000,0,0,0,0,0,133,0,0,0,EG
752408,2024,01,09,2024-01-09,07:34:00,3,FL,12,0,50.0000,0,0,2000,0,30.8000,-85.8100,30.8000,-85.8100,0,0,0,0,0,59,0,0,0,EG
752409,2024,01,09,2024-01-09,07:35:00,3,FL,12,0,60.0000,0,0,2000,0,30.7000,-85.7900,30.7000,-85.7900,0,0,0,0,0,133,0,0,0,EG
752410,2024,01,09,2024-01-09,07:35:00,3,FL,12,0,60.0000,0,0,2000,0,30.6600,-85.7800,30.6600,-85.7800,0,0,0,0,0,133,0,0,0,EG
752411,2024,01,09,2024-01-09,07:37:00,3,FL,12,0,60.0000,0,0,2000,0,30.6800,-85.7500,30.6800,-85.7500,0,0,0,0,0,133,0,0,0,EG
752412,2024,01,09,2024-01-09,07:38:00,3,FL,12,0,60.0000,0,0,0,0,30.9200,-85.7900,30.9200,-85.7900,0,0,0,0,0,59,0,0,0,EG
752413,2024,01,09,2024-01-09,07:40:00,3,FL,12,0,60.0000,0,0,0,0,30.7500,-85.7200,30.7500,-85.7200,0,0,0,0,0,59,0,0,0,EG
752414,2024,01,09,2024-01-09,07:40:00,3,FL,12,0,60.0000,0,0,0,0,30.5700,-85.7600,30.5700,-85.7600,0,0,0,0,0,133,0,0,0,EG
752415,2024,01,09,2024-01-09,07:40:00,3,GA,13,0,52.0000,0,0,1000,0,33.8200,-84.3400,33.8200,-84.3400,0,0,0,0,0,89,0,0,0,EG
752416,2024,01,09,2024-01-09,07:40:00,3,GA,13,0,52.0000,0,0,1000,0,33.7816,-84.3378,33.7816,-84.3378,0,0,0,0,0,89,0,0,0,EG
752417,2024,01,09,2024-01-09,07:40:00,3,GA,13,0,52.0000,0,0,1000,0,33.6862,-84.2895,33.6862,-84.2895,0,0,0,0,0,89,0,0,0,EG
752418,2024,01,09,2024-01-09,07:41:00,3,GA,13,0,52.0000,0,0,1000,0,33.6900,-84.2800,33.6900,-84.2800,0,0,0,0,0,89,0,0,0,EG
752419,2024,01,09,2024-01-09,07:42:00,3,FL,12,0,60.0000,0,0,0,0,30.5000,-85.6800,30.5000,-85.6800,0,0,0,0,0,133,0,0,0,EG
752420,2024,01,09,2024-01-09,07:42:00,3,FL,12,0,60.0000,0,0,0,0,30.7800,-85.7000,30.7800,-85.7000,0,0,0,0,0,59,0,0,0,EG
752421,2024,01,09,2024-01-09,07:43:00,3,FL,12,0,60.0000,0,0,2000,0,30.8000,-85.6800,30.8000,-85.6800,0,0,0,0,0,59,0,0,0,EG
752422,2024,01,09,2024-01-09,07:43:00,3,FL,12,0,60.0000,0,0,0,0,30.8700,-85.6900,30.8700,-85.6900,0,0,0,0,0,59,0,0,0,EG
752423,2024,01,09,2024-01-09,07:43:00,3,FL,12,0,60.0000,0,0,3000,0,30.8000,-85.6700,30.8000,-85.6700,0,0,0,0,0,59,0,0,0,EG
752424,2024,01,09,2024-01-09,07:43:00,3,GA,13,0,43.0000,0,1,1000,0,33.5090,-84.3679,33.5090,-84.3679,0,0,0,0,0,63,0,0,0,EG
752425,2024,01,09,2024-01-09,07:44:00,3,FL,12,0,60.0000,0,0,0,0,30.7800,-85.6800,30.7800,-85.6800,0,0,0,0,0,59,0,0,0,EG
752426,2024,01,09,2024-01-09,07:44:00,3,FL,12,0,60.0000,0,0,0,0,30.7300,-85.6500,30.7300,-85.6500,0,0,0,0,0,133,0,0,0,EG
752427,2024,01,09,2024-01-09,07:44:00,3,FL,12,0,60.0000,0,0,2000,0,30.7900,-85.6600,30.7900,-85.6600,0,0,0,0,0,59,0,0,0,EG
752428,2024,01,09,2024-01-09,07:44:00,3,FL,12,0,60.0000,0,0,0,0,30.6100,-85.6900,30.6100,-85.6900,0,0,0,0,0,133,0,0,0,EG
752429,2024,01,09,2024-01-09,07:45:00,3,AL,01,0,60.0000,0,0,10000,0,31.1000,-85.5900,31.1000,-85.5900,0,0,0,0,0,61,0,0,0,EG
752430,2024,01,09,2024-01-09,07:45:00,3,GA,13,0,52.0000,0,0,2000,0,33.7117,-84.2523,33.7117,-84.2523,0,0,0,0,0,89,0,0,0,EG
752431,2024,01,09,2024-01-09,07:45:00,3,GA,13,0,52.0000,0,0,1000,0,33.7048,-84.2523,33.7048,-84.2523,0,0,0,0,0,89,0,0,0,EG
752432,2024,01,09,2024-01-09,07:46:00,3,FL,12,0,60.0000,0,0,0,0,30.7300,-85.6300,30.7300,-85.6300,0,0,0,0,0,133,0,0,0,EG
752433,2024,01,09,2024-01-09,07:46:00,3,GA,13,0,52.0000,0,0,1000,0,33.7530,-84.2278,33.7530,-84.2278,0,0,0,0,0,89,0,0,0,EG
752434,2024,01,09,2024-01-09,07:47:00,3,FL,12,0,60.0000,0,0,0,0,30.7500,-85.6100,30.7500,-85.6100,0,0,0,0,0,133,0,0,0,EG
752435,2024,01,09,2024-01-09,07:47:00,3,FL,12,0,60.0000,0,0,0,0,30.8800,-85.6400,30.8800,-85.6400,0,0,0,0,0,59,0,0,0,EG
752436,2024,01,09,2024-01-09,07:48:00,3,FL,12,0,60.0000,0,0,0,0,30.6300,-85.6400,30.6300,-85.6400,0,0,0,0,0,133,0,0,0,EG
752437,2024,01,09,2024-01-09,07:48:00,3,FL,12,0,60.0000,0,0,10000,0,30.5400,-85.6000,30.5400,-85.6000,0,0,0,0,0,133,0,0,0,EG
752438,2024,01,09,2024-01-09,07:48:00,3,FL,12,0,60.0000,0,0,0,0,30.6300,-85.6200,30.6300,-85.6200,0,0,0,0,0,133,0,0,0,EG
752439,2024,01,09,2024-01-09,07:49:00,3,FL,12,0,60.0000,0,0,3000,0,30.6600,-85.6000,30.6600,-85.6000,0,0,0,0,0,133,0,0,0,EG
752440,2024,01,09,2024-01-09,07:50:00,3,FL,12,0,60.0000,0,0,0,0,30.6400,-85.5800,30.6400,-85.5800,0,0,0,0,0,133,0,0,0,EG
752441,2024,01,09,2024-01-09,07:50:00,3,FL,12,0,60.0000,0,0,2000,0,30.7400,-85.5600,30.7400,-85.5600,0,0,0,0,0,133,0,0,0,EG
752442,2024,01,09,2024-01-09,07:50:00,3,FL,12,0,60.0000,0,0,2000,0,30.3900,-85.6900,30.3900,-85.6900,0,0,0,0,0,5,0,0,0,EG
752443,2024,01,09,2024-01-09,07:50:00,3,FL,12,0,60.0000,0,0,0,0,30.7200,-85.5800,30.7200,-85.5800,0,0,0,0,0,133,0,0,0,EG
752444,2024,01,09,2024-01-09,07:50:00,3,FL,12,0,60.0000,0,0,0,0,30.6600,-85.5900,30.6600,-85.5900,0,0,0,0,0,133,0,0,0,EG
752445,2024,01,09,2024-01-09,07:50:00,3,GA,13,0,48.0000,0,0,1000,0,32.6610,-84.6362,32.6610,-84.6362,0,0,0,0,0,263,0,0,0,EG
752446,2024,01,09,2024-01-09,07:51:00,3,FL,12,0,60.0000,0,0,2000,0,30.6300,-85.5700,30.6300,-85.5700,0,0,0,0,0,133,0,0,0,EG
752447,2024,01,09,2024-01-09,07:51:00,3,FL,12,0,60.0000,0,0,2000,0,30.6700,-85.5600,30.6700,-85.5600,0,0,0,0,0,133,0,0,0,EG
752448,2024,01,09,2024-01-09,07:51:00,3,FL,12,0,60.0000,0,0,2000,0,30.7400,-85.5600,30.7400,-85.5600,0,0,0,0,0,133,0,0,0,EG
752449,2024,01,09,2024-01-09,07:52:00,3,AL,01,0,60.0000,0,0,10000,0,31.1600,-85.4600,31.1600,-85.4600,0,0,0,0,0,69,0,0,0,EG
752450,2024,01,09,2024-01-09,07:54:00,3,FL,12,0,60.0000,0,0,0,0,30.7500,-85.5100,30.7500,-85.5100,0,0,0,0,0,133,0,0,0,EG
752451,2024,01,09,2024-01-09,07:55:00,3,FL,12,0,60.0000,0,0,0,0,30.6500,-85.5300,30.6500,-85.5300,0,0,0,0,0,133,0,0,0,EG
752452,2024,01,09,2024-01-09,07:55:00,3,GA,13,0,48.0000,0,0,1000,0,32.6800,-84.5500,32.6800,-84.5500,0,0,0,0,0,263,0,0,0,EG
752453,2024,01,09,2024-01-09,07:56:00,3,FL,12,0,60.0000,0,0,0,0,30.8000,-85.5000,30.8000,-85.5000,0,0,0,0,0,133,0,0,0,EG
752454,2024,01,09,2024-01-09,07:57:00,3,FL,12,0,60.0000,0,0,0,0,30.6200,-85.4900,30.6200,-85.4900,0,0,0,0,0,133,0,0,0,EG
752455,2024,01,09,2024-01-09,07:58:00,3,FL,12,0,60.0000,0,0,0,0,30.9700,-85.5200,30.9700,-85.5200,0,0,0,0,0,63,0,0,0,EG
752456,2024,01,09,2024-01-09,07:59:00,3,FL,12,0,60.0000,0,0,0,0,30.8500,-85.4400,30.8500,-85.4400,0,0,0,0,0,63,0,0,0,EG
752457,2024,01,09,2024-01-09,08:00:00,3,FL,12,0,60.0000,0,0,0,0,30.7900,-85.4400,30.7900,-85.4400,0,0,0,0,0,63,0,0,0,EG
752458,2024,01,09,2024-01-09,08:00:00,3,FL,12,0,60.0000,0,0,0,0,30.9500,-85.4000,30.9500,-85.4000,0,0,0,0,0,63,0,0,0,EG
752459,2024,01,09,2024-01-09,08:00:00,3,FL,12,0,60.0000,0,0,0,0,30.9500,-85.3900,30.9500,-85.3900,0,0,0,0,0,63,0,0,0,EG
752460,2024,01,09,2024-01-09,08:00:00,3,FL,12,0,60.0000,0,0,0,0,30.8400,-85.4200,30.8400,-85.4200,0,0,0,0,0,63,0,0,0,EG
752461,2024,01,09,2024-01-09,08:00:00,3,GA,13,0,35.0000,0,0,1000,0,33.9878,-85.2481,33.9878,-85.2481,0,0,0,0,0,233,0,0,0,EG
752462,2024,01,09,2024-01-09,08:02:00,3,FL,12,0,60.0000,0,0,2000,0,30.9500,-85.3700,30.9500,-85.3700,0,0,0,0,0,63,0,0,0,EG
752463,2024,01,09,2024-01-09,08:03:00,3,FL,12,0,60.0000,0,0,2000,0,30.9900,-85.3800,30.9900,-85.3800,0,0,0,0,0,63,0,0,0,EG
752464,2024,01,09,2024-01-09,08:04:00,3,FL,12,0,60.0000,0,0,2000,0,30.9800,-85.3600,30.9800,-85.3600,0,0,0,0,0,63,0,0,0,EG
