om,yr,mo,dy,date,time,tz,st,stf,stn,mag,inj,fat,loss,closs,slat,slon,elat,elon,len,wid,ns,sn,sg,f1,f2,f3,f4,mt,edat,etime
2501051920-02,2025,01,05,2025-01-05,19:20:00,3,MS,28,0,50.0000,0,0,50000,0,32.4700,-90.0500,32.4700,-90.0500,0,0,0,0,0,89,0,0,0,EG,2025-01-05,21:20:00
2501051935-01,2025,01,05,2025-01-05,19:35:00,3,AL,01,0,43.0000,0,0,500,0,34.7700,-87.9600,34.7700,-87.9600,0,0,0,0,0,33,0,0,0,EG,2025-01-05,19:35:00
2501051939-01,2025,01,05,2025-01-05,19:39:00,3,AL,01,0,52.0000,0,0,0,0,34.3400,-88.1500,34.3400,-88.1500,0,0,0,0,0,59,0,0,0,EG,2025-01-05,19:39:00
2501052005-01,2025,01,05,2025-01-05,20:05:00,3,AL,01,0,43.0000,0,0,500,0,34.7700,-87.6900,34.7700,-87.6900,0,0,0,0,0,33,0,0,0,EG,2025-01-05,20:05:00
2501052038-01,2025,01,05,2025-01-05,20:38:00,3,MS,28,0,39.0000,0,0,1000,0,32.3600,-89.3800,32.3600,-89.3800,0,0,0,0,0,123,0,0,0,EG,2025-01-05,20:38:00
2501052045-01,2025,01,05,2025-01-05,20:45:00,3,MS,28,0,48.0000,0,0,5000,0,31.7433,-89.7923,31.7433,-89.7923,0,0,0,0,0,65,0,0,0,EG,2025-01-05,20:45:00
2501052053-01,2025,01,05,2025-01-05,20:53:00,3,MS,28,0,43.0000,0,0,5000,0,31.6553,-89.8451,31.6553,-89.8451,0,0,0,0,0,65,0,0,0,EG,2025-01-05,20:53:00
2501052106-01,2025,01,05,2025-01-05,21:06:00,3,MS,28,0,52.0000,0,0,5000,0,31.4543,-89.7277,31.4543,-89.7277,0,0,0,0,0,65,0,0,0,EG,2025-01-05,21:06:00
2501061100-01,2025,01,06,2025-01-06,11:00:00,3,SC,45,0,40.0000,0,0,1000,0,32.7400,-79.9400,32.7400,-79.9400,0,0,0,0,0,19,0,0,0,EG,2025-01-06,11:01:00
2501100840-01,2025,01,10,2025-01-10,08:40:00,3,HI,15,0,56.0000,0,0,0,0,20.8241,-156.0913,20.8241,-156.0913,0,0,0,0,0,9,0,0,0,EG,2025-01-10,08:40:00
2501100850-01,2025,01,10,2025-01-10,08:50:00,3,HI,15,0,52.0000,0,0,0,0,20.7420,-156.3325,20.7420,-156.3325,0,0,0,0,0,9,0,0,0,EG,2025-01-10,08:50:00
2501100850-02,2025,01,10,2025-01-10,08:50:00,3,HI,15,0,52.0000,0,0,0,0,20.7609,-156.3296,20.7609,-156.3296,0,0,0,0,0,9,0,0,0,EG,2025-01-10,08:50:00
2501100854-01,2025,01,10,2025-01-10,08:54:00,3,HI,15,0,56.0000,0,0,100000,0,20.8946,-156.4361,20.8946,-156.4361,0,0,0,0,0,9,0,0,0,EG,2025-01-10,08:54:00
2501190601-01,2025,01,19,2025-01-19,06:01:00,3,FL,12,0,52.0000,0,0,0,0,29.7100,-81.5600,29.7100,-81.5600,0,0,0,0,0,107,0,0,0,EG,2025-01-19,06:01:00
2501190602-01,2025,01,19,2025-01-19,06:02:00,3,FL,12,0,50.0000,0,0,0,0,29.7100,-81.5400,29.7100,-81.5400,0,0,0,0,0,107,0,0,0,EG,2025-01-19,06:02:00
2501190605-01,2025,01,19,2025-01-19,06:05:00,3,FL,12,0,50.0000,0,0,0,0,29.7300,-81.5100,29.7300,-81.5100,0,0,0,0,0,109,0,0,0,EG,2025-01-19,06:05:00
2501190615-01,2025,01,19,2025-01-19,06:15:00,3,FL,12,0,50.0000,0,0,0,0,29.3700,-82.2200,29.3700,-82.2200,0,0,0,0,0,83,0,0,0,EG,2025-01-19,06:15:00
2501190633-01,2025,01,19,2025-01-19,06:33:00,3,FL,12,0,56.0000,0,0,0,0,29.2400,-82.0000,29.2400,-82.0000,0,0,0,0,0,83,0,0,0,MG,2025-01-19,06:33:00
2501190710-01,2025,01,19,2025-01-19,07:10:00,3,FL,12,0,50.0000,0,0,0,0,29.5500,-81.2400,29.5500,-81.2400,0,0,0,0,0,35,0,0,0,EG,2025-01-19,07:10:00
2501190715-01,2025,01,19,2025-01-19,07:15:00,3,FL,12,0,50.0000,0,0,0,0,29.4800,-81.1300,29.4800,-81.1300,0,0,0,0,0,35,0,0,0,EG,2025-01-19,07:15:00
2501191234-01,2025,01,19,2025-01-19,12:34:00,3,FL,12,0,50.0000,0,0,0,0,28.3600,-80.6500,28.3600,-80.6500,0,0,0,0,0,9,0,0,0,MG,2025-01-19,12:34:00
2501191240-01,2025,01,19,2025-01-19,12:40:00,3,FL,12,0,57.0000,0,0,0,0,28.4600,-80.5700,28.4600,-80.5700,0,0,0,0,0,9,0,0,0,MG,2025-01-19,12:40:00
2501302216-01,2025,01,30,2025-01-30,22:16:00,3,MS,28,0,56.0000,0,0,1000,0,32.1700,-90.8900,32.1700,-90.8900,0,0,0,0,0,149,0,0,0,EG,2025-01-30,22:16:00
2501310002-01,2025,01,31,2025-01-31,00:02:00,3,MS,28,0,56.0000,0,0,1000,0,31.5300,-91.1600,31.5300,-91.1600,0,0,0,0,0,1,0,0,0,EG,2025-01-31,00:02:00
2501311555-01,2025,01,31,2025-01-31,15:55:00,3,AL,01,0,52.0000,0,0,1000,0,34.8702,-88.0874,34.8702,-88.0874,0,0,0,0,0,33,0,0,0,EG,2025-01-31,15:55:00
2501311646-01,2025,01,31,2025-01-31,16:46:00,3,AL,01,0,43.0000,0,0,500,0,34.7781,-87.8970,34.7781,-87.8970,0,0,0,0,0,33,0,0,0,EG,2025-01-31,16:46:00
2501311727-01,2025,01,31,2025-01-31,17:27:00,3,AL,01,0,43.0000,0,0,500,0,34.5878,-87.7369,34.5878,-87.7369,0,0,0,0,0,33,0,0,0,EG,2025-01-31,17:27:00
2502041451-01,2025,02,04,2025-02-04,14:51:00,3,CA,06,0,50.0000,0,0,0,0,37.9900,-122.6400,37.9900,-122.6400,0,0,0,0,0,41,0,0,0,MG,2025-02-04,14:51:00
2502060454-01,2025,02,06,2025-02-06,04:54:00,3,KY,21,0,50.0000,0,0,0,0,37.3296,-86.5977,37.3296,-86.5977,0,0,0,0,0,31,0,0,0,EG,2025-02-06,04:54:00
2502060552-01,2025,02,06,2025-02-06,05:52:00,3,KY,21,0,55.0000,0,0,0,0,37.4100,-85.0300,37.4100,-85.0300,0,0,0,0,0,45,0,0,0,EG,2025-02-06,05:52:00
2502060612-01,2025,02,06,2025-02-06,06:12:00,3,KY,21,0,50.0000,0,0,0,0,37.2507,-85.6304,37.2507,-85.6304,0,0,0,0,0,87,0,0,0,EG,2025-02-06,06:12:00
2502060646-01,2025,02,06,2025-02-06,06:46:00,3,KY,21,0,50.0000,0,0,0,10000,37.3702,-84.1973,37.3702,-84.1973,0,0,0,0,0,203,0,0,0,EG,2025-02-06,06:46:00
2502060648-01,2025,02,06,2025-02-06,06:48:00,3,WV,54,0,50.0000,0,0,5000,0,38.1800,-82.1800,38.2700,-82.0700,0,0,0,0,0,43,0,0,0,EG,2025-02-06,06:50:00
2502060705-01,2025,02,06,2025-02-06,07:05:00,3,WV,54,0,50.0000,0,0,3000,0,38.0400,-81.7700,38.0400,-81.7700,0,0,0,0,0,5,0,0,0,EG,2025-02-06,07:05:00
2502060725-01,2025,02,06,2025-02-06,07:25:00,3,WV,54,0,50.0000,0,0,3000,0,38.1100,-81.9200,38.1100,-81.9200,0,0,0,0,0,5,0,0,0,EG,2025-02-06,07:25:00
2502060741-01,2025,02,06,2025-02-06,07:41:00,3,KY,21,0,50.0000,0,0,0,1000,36.8774,-82.9312,36.8774,-82.9312,0,0,0,0,0,95,0,0,0,EG,2025-02-06,07:41:00
2502060755-01,2025,02,06,2025-02-06,07:55:00,3,WV,54,0,50.0000,0,0,3000,0,37.9500,-81.9400,37.9500,-81.9400,0,0,0,0,0,45,0,0,0,EG,2025-02-06,07:55:00
2502060837-01,2025,02,06,2025-02-06,08:37:00,3,KY,21,0,50.0000,0,0,0,1000,37.1074,-83.3453,37.1074,-83.3453,0,0,0,0,0,131,0,0,0,EG,2025-02-06,08:37:00
2502060840-01,2025,02,06,2025-02-06,08:40:00,3,KY,21,0,50.0000,0,0,30000,0,37.1254,-82.8411,37.1254,-82.8411,0,0,0,0,0,133,0,0,0,EG,2025-02-06,08:40:00
2502061600-01,2025,02,06,2025-02-06,16:00:00,3,KY,21,0,50.0000,0,0,0,1000,36.7236,-83.7604,36.7236,-83.7604,0,0,0,0,0,13,0,0,0,EG,2025-02-06,16:00:00
2502061642-01,2025,02,06,2025-02-06,16:42:00,3,KY,21,0,50.0000,0,0,0,1000,36.7372,-83.6968,36.7372,-83.6968,0,0,0,0,0,13,0,0,0,EG,2025-02-06,16:42:00
2502061802-01,2025,02,06,2025-02-06,18:02:00,3,KY,21,0,53.0000,0,0,0,0,36.7689,-85.3565,36.7689,-85.3565,0,0,0,0,0,57,0,0,0,EG,2025-02-06,18:02:00
2502061818-01,2025,02,06,2025-02-06,18:18:00,3,KY,21,0,50.0000,0,0,3000,1000,36.9368,-84.0965,36.9368,-84.0965,0,0,0,0,0,235,0,0,0,EG,2025-02-06,18:18:00
2502061818-02,2025,02,06,2025-02-06,18:18:00,3,KY,21,0,50.0000,0,0,0,3000,36.9385,-84.0992,36.9385,-84.0992,0,0,0,0,0,235,0,0,0,EG,2025-02-06,18:18:00
2502061818-03,2025,02,06,2025-02-06,18:18:00,3,KY,21,0,50.0000,0,0,750,3000,36.9351,-84.0952,36.9351,-84.0952,0,0,0,0,0,235,0,0,0,EG,2025-02-06,18:18:00
2502061820-01,2025,02,06,2025-02-06,18:20:00,3,KY,21,0,50.0000,0,0,0,2000,37.0903,-83.3954,37.0903,-83.3954,0,0,0,0,0,131,0,0,0,EG,2025-02-06,18:20:00
2502061825-01,2025,02,06,2025-02-06,18:25:00,3,TN,47,0,61.0000,0,0,25000,0,36.2670,-85.4462,36.2670,-85.4462,0,0,0,0,0,133,0,0,0,EG,2025-02-06,18:25:00
2502061825-02,2025,02,06,2025-02-06,18:25:00,3,TN,47,0,66.0000,0,0,10000,0,36.2650,-85.4503,36.2650,-85.4503,0,0,0,0,0,133,0,0,0,EG,2025-02-06,18:25:00
2502061835-01,2025,02,06,2025-02-06,18:35:00,3,KY,21,0,50.0000,0,0,0,1000,36.7754,-84.1801,36.7754,-84.1801,0,0,0,0,0,235,0,0,0,EG,2025-02-06,18:35:00
2502061843-01,2025,02,06,2025-02-06,18:43:00,3,KY,21,0,50.0000,0,0,0,6000,36.9567,-83.3989,36.9567,-83.3989,0,0,0,0,0,131,0,0,0,EG,2025-02-06,18:43:00
2502061848-01,2025,02,06,2025-02-06,18:48:00,3,TN,47,0,61.0000,0,0,25000,0,36.2298,-85.1420,36.2298,-85.1420,0,0,0,0,0,133,0,0,0,EG,2025-02-06,18:48:00
2502061927-01,2025,02,06,2025-02-06,19:27:00,3,KY,21,0,50.0000,0,0,0,8000,36.9063,-83.3115,36.9063,-83.3115,0,0,0,0,0,95,0,0,0,EG,2025-02-06,19:27:00
2502061947-01,2025,02,06,2025-02-06,19:47:00,3,TN,47,0,52.0000,0,0,0,0,36.4600,-83.8700,36.4600,-83.8700,0,0,0,0,0,25,0,0,0,EG,2025-02-06,19:47:00
2502062035-01,2025,02,06,2025-02-06,20:35:00,3,TN,47,0,52.0000,0,0,0,0,36.5800,-82.6700,36.5800,-82.6700,0,0,0,0,0,73,0,0,0,EG,2025-02-06,20:35:00
2502062050-01,2025,02,06,2025-02-06,20:50:00,3,TN,47,0,52.0000,0,0,40000,0,36.5800,-82.5800,36.5800,-82.5800,0,0,0,0,0,163,0,0,0,EG,2025-02-06,20:50:00
2502062055-01,2025,02,06,2025-02-06,20:55:00,3,TN,47,0,52.0000,0,0,0,0,36.2300,-83.0400,36.2300,-83.0400,0,0,0,0,0,59,0,0,0,EG,2025-02-06,20:55:00
2502062129-01,2025,02,06,2025-02-06,21:29:00,3,TN,47,0,52.0000,0,0,0,0,36.4500,-82.2800,36.4500,-82.2800,0,0,0,0,0,163,0,0,0,EG,2025-02-06,21:29:00
2502121512-01,2025,02,12,2025-02-12,15:12:00,3,MS,28,0,53.0000,0,0,5000,0,31.4800,-90.9100,31.4800,-90.9100,0,0,0,0,0,37,0,0,0,EG,2025-02-12,15:12:00
2502121554-01,2025,02,12,2025-02-12,15:54:00,3,MS,28,0,50.0000,0,0,2000,0,31.5800,-90.4700,31.5800,-90.4700,0,0,0,0,0,85,0,0,0,EG,2025-02-12,15:54:00
2502121710-01,2025,02,12,2025-02-12,17:10:00,3,MS,28,0,50.0000,0,0,2000,0,31.9700,-89.5100,31.9700,-89.5100,0,0,0,0,0,129,0,0,0,EG,2025-02-12,17:10:00
2502121710-02,2025,02,12,2025-02-12,17:10:00,3,MS,28,0,50.0000,0,0,2000,0,31.9100,-89.5300,31.9100,-89.5300,0,0,0,0,0,129,0,0,0,EG,2025-02-12,17:10:00
2502121815-01,2025,02,12,2025-02-12,18:15:00,3,MS,28,0,53.0000,0,0,4000,0,31.5600,-89.5500,31.5808,-89.5284,0,0,0,0,0,31,0,0,0,EG,2025-02-12,18:17:00
2502121835-01,2025,02,12,2025-02-12,18:35:00,3,MS,28,0,50.0000,0,0,0,0,31.6897,-89.3297,31.7540,-89.2150,0,0,0,0,0,67,0,0,0,EG,2025-02-12,18:45:00
2502121936-01,2025,02,12,2025-02-12,19:36:00,3,MS,28,0,60.0000,0,0,4000,0,31.6447,-88.9874,31.6658,-88.9556,0,0,0,0,0,67,0,0,0,EG,2025-02-12,19:38:00
2502122055-01,2025,02,12,2025-02-12,20:55:00,3,AL,01,0,50.0000,0,0,0,0,32.6517,-86.3243,32.6517,-86.3243,0,0,0,0,0,51,0,0,0,EG,2025-02-12,20:56:00
