om,yr,mo,dy,date,time,tz,st,stf,stn,mag,inj,fat,loss,closs,slat,slon,elat,elon,len,wid,ns,sn,sg,f1,f2,f3,f4,mt,edat,etime
2504021734-01,2025,04,02,2025-04-02,17:34:00,3,AR,05,0,87.0000,0,0,20000,0,35.7900,-90.8800,35.8200,-90.8200,0,0,0,0,0,31,0,0,0,EG,2025-04-02,17:38:00
2504021736-01,2025,04,02,2025-04-02,17:36:00,3,IL,17,0,61.0000,0,0,0,0,39.2600,-88.2100,39.2600,-88.2100,0,0,0,0,0,35,0,0,0,EG,2025-04-02,17:41:00
2504021738-01,2025,04,02,2025-04-02,17:38:00,3,IL,17,0,61.0000,0,0,0,0,39.2500,-88.1700,39.2500,-88.1700,0,0,0,0,0,35,0,0,0,EG,2025-04-02,17:43:00
2504021745-01,2025,04,02,2025-04-02,17:45:00,3,IL,17,0,61.0000,0,0,0,0,39.3000,-87.9987,39.3000,-87.9987,0,0,0,0,0,23,0,0,0,EG,2025-04-02,17:50:00
2504021748-01,2025,04,02,2025-04-02,17:48:00,3,IL,17,0,61.0000,0,0,0,0,39.4600,-88.0500,39.4600,-88.0500,0,0,0,0,0,29,0,0,0,EG,2025-04-02,17:53:00
2504021748-02,2025,04,02,2025-04-02,17:48:00,3,MO,29,0,83.0000,0,0,200000,0,36.5549,-90.2481,36.5809,-90.1984,0,0,0,0,0,23,0,0,0,EG,2025-04-02,17:53:00
2504021749-01,2025,04,02,2025-04-02,17:49:00,3,IL,17,0,55.0000,0,0,0,0,39.3300,-87.8300,39.3300,-87.8300,0,0,0,0,0,23,0,0,0,MG,2025-04-02,17:54:00
2504021753-01,2025,04,02,2025-04-02,17:53:00,3,IL,17,0,70.0000,0,0,0,0,39.4500,-87.8300,39.4500,-87.8300,0,0,0,0,0,23,0,0,0,EG,2025-04-02,17:58:00
2504021756-01,2025,04,02,2025-04-02,17:56:00,3,MO,29,0,70.0000,0,0,1000,0,37.2846,-89.6079,37.2846,-89.6079,0,0,0,0,0,31,0,0,0,EG,2025-04-02,17:56:00
2504021756-02,2025,04,02,2025-04-02,17:56:00,3,IN,18,0,61.0000,0,0,10000,0,40.7100,-86.4500,40.7100,-86.4500,0,0,0,0,0,17,0,0,0,EG,2025-04-02,17:57:00
2504021758-01,2025,04,02,2025-04-02,17:58:00,3,MO,29,0,52.0000,0,0,3000,0,36.0500,-90.2900,36.0500,-90.2900,0,0,0,0,0,69,0,0,0,EG,2025-04-02,18:03:00
2504021758-02,2025,04,02,2025-04-02,17:58:00,3,AR,05,0,78.0000,0,0,3000,0,34.7800,-90.9900,34.7800,-90.9900,0,0,0,0,0,77,0,0,0,EG,2025-04-02,18:00:00
2504021758-03,2025,04,02,2025-04-02,17:58:00,3,MO,29,0,78.0000,0,0,10000,0,36.6060,-90.1570,36.6240,-90.1400,0,0,0,0,0,69,0,0,0,EG,2025-04-02,18:03:00
2504021758-04,2025,04,02,2025-04-02,17:58:00,3,MO,29,0,51.0000,0,0,0,0,37.2300,-89.5800,37.2300,-89.5800,0,0,0,0,0,201,0,0,0,MG,2025-04-02,17:58:00
2504021758-05,2025,04,02,2025-04-02,17:58:00,3,AR,05,0,78.0000,0,0,25000,0,35.4700,-90.9500,35.4700,-90.9500,0,0,0,0,0,111,0,0,0,EG,2025-04-02,17:59:00
2504021800-01,2025,04,02,2025-04-02,18:00:00,3,MO,29,0,70.0000,0,0,5000,0,37.3020,-89.5620,37.3029,-89.5568,0,0,0,0,0,31,0,0,0,EG,2025-04-02,18:01:00
2504021801-01,2025,04,02,2025-04-02,18:01:00,3,IN,18,0,61.0000,0,0,1000,0,40.7740,-86.3364,40.7740,-86.3364,0,0,0,0,0,17,0,0,0,EG,2025-04-02,18:02:00
2504021808-01,2025,04,02,2025-04-02,18:08:00,3,IL,17,0,56.0000,0,0,0,0,39.7000,-87.6700,39.7000,-87.6700,0,0,0,0,0,45,0,0,0,MG,2025-04-02,18:13:00
2504021810-01,2025,04,02,2025-04-02,18:10:00,3,IN,18,0,54.0000,0,0,40000,0,39.4400,-87.5200,39.4400,-87.5200,0,0,0,0,0,167,0,0,0,EG,2025-04-02,18:10:00
2504021813-01,2025,04,02,2025-04-02,18:13:00,3,IN,18,0,55.0000,0,0,25000,0,39.4900,-87.4500,39.4900,-87.4500,0,0,0,0,0,167,0,0,0,EG,2025-04-02,18:13:00
2504021814-01,2025,04,02,2025-04-02,18:14:00,3,IL,17,0,61.0000,0,0,0,0,39.6200,-87.5400,39.6200,-87.5400,0,0,0,0,0,45,0,0,0,EG,2025-04-02,18:19:00
2504021814-02,2025,04,02,2025-04-02,18:14:00,3,AR,05,0,74.0000,0,0,0,0,34.9700,-90.8200,34.9700,-90.8200,0,0,0,0,0,123,0,0,0,EG,2025-04-02,18:19:00
2504021824-01,2025,04,02,2025-04-02,18:24:00,3,IN,18,0,61.0000,0,0,0,0,41.5300,-85.8000,41.5300,-85.8000,0,0,0,0,0,39,0,0,0,EG,2025-04-02,18:25:00
2504021825-01,2025,04,02,2025-04-02,18:25:00,3,IN,18,0,61.0000,0,0,30000,0,41.4299,-85.7187,41.4299,-85.7187,0,0,0,0,0,85,0,0,0,EG,2025-04-02,18:26:00
2504021828-01,2025,04,02,2025-04-02,18:28:00,3,AR,05,0,52.0000,0,0,0,0,35.9300,-89.9000,35.9300,-89.9000,0,0,0,0,0,93,0,0,0,EG,2025-04-02,18:33:00
2504021830-01,2025,04,02,2025-04-02,18:30:00,3,IN,18,0,61.0000,0,0,15000,0,41.7265,-85.6015,41.7265,-85.6015,0,0,0,0,0,87,0,0,0,EG,2025-04-02,18:31:00
2504021830-02,2025,04,02,2025-04-02,18:30:00,3,IN,18,0,50.0000,0,0,2000,0,40.3500,-86.8600,40.3500,-86.8600,0,0,0,0,0,157,0,0,0,EG,2025-04-02,18:30:00
2504021833-01,2025,04,02,2025-04-02,18:33:00,3,IN,18,0,70.0000,0,0,0,0,38.6800,-87.5100,38.6800,-87.5100,0,0,0,0,0,83,0,0,0,EG,2025-04-02,18:33:00
2504021837-01,2025,04,02,2025-04-02,18:37:00,3,IN,18,0,61.0000,0,0,15000,0,41.7200,-85.2400,41.7200,-85.2400,0,0,0,0,0,87,0,0,0,EG,2025-04-02,18:38:00
2504021840-01,2025,04,02,2025-04-02,18:40:00,3,IN,18,0,55.0000,0,0,0,0,40.5300,-86.6800,40.5300,-86.6800,0,0,0,0,0,15,0,0,0,MG,2025-04-02,18:40:00
2504021842-01,2025,04,02,2025-04-02,18:42:00,3,IL,17,0,56.0000,0,0,20000,0,37.5415,-88.9454,37.5415,-88.9454,0,0,0,0,0,87,0,0,0,EG,2025-04-02,18:42:00
2504021845-01,2025,04,02,2025-04-02,18:45:00,3,IN,18,0,55.0000,0,0,5000,0,38.7900,-87.4600,38.7900,-87.4600,0,0,0,0,0,83,0,0,0,EG,2025-04-02,18:45:00
2504021848-01,2025,04,02,2025-04-02,18:48:00,3,IN,18,0,85.0000,0,0,0,0,41.7300,-85.1700,41.7300,-85.1700,0,0,0,0,0,151,0,0,0,EG,2025-04-02,18:49:00
2504021850-01,2025,04,02,2025-04-02,18:50:00,3,IN,18,0,63.0000,0,0,0,0,39.6400,-86.8400,39.6400,-86.8400,0,0,0,0,0,133,0,0,0,MG,2025-04-02,18:50:00
2504021850-02,2025,04,02,2025-04-02,18:50:00,3,AR,05,0,52.0000,0,0,0,0,35.3200,-90.2600,35.3200,-90.2600,0,0,0,0,0,35,0,0,0,EG,2025-04-02,18:55:00
2504021852-01,2025,04,02,2025-04-02,18:52:00,3,IN,18,0,56.0000,0,0,0,0,39.9800,-86.9200,39.9800,-86.9200,0,0,0,0,0,107,0,0,0,MG,2025-04-02,18:52:00
2504021859-01,2025,04,02,2025-04-02,18:59:00,3,IN,18,0,60.0000,0,0,10000,0,39.7200,-86.6400,39.7200,-86.6400,0,0,0,0,0,63,0,0,0,EG,2025-04-02,18:59:00
2504021904-01,2025,04,02,2025-04-02,19:04:00,3,KY,21,0,78.0000,0,0,35000,0,36.8576,-89.0768,36.8824,-89.0249,0,0,0,0,0,39,0,0,0,EG,2025-04-02,19:06:00
2504021906-01,2025,04,02,2025-04-02,19:06:00,3,IN,18,0,70.0000,0,0,0,0,39.7500,-86.4800,39.7500,-86.4800,0,0,0,0,0,63,0,0,0,MG,2025-04-02,19:06:00
2504021908-01,2025,04,02,2025-04-02,19:08:00,3,IN,18,0,61.0000,0,0,0,0,39.7800,-86.5000,39.7800,-86.5000,0,0,0,0,0,63,0,0,0,EG,2025-04-02,19:08:00
2504021908-02,2025,04,02,2025-04-02,19:08:00,3,KY,21,0,74.0000,0,0,35000,0,36.9076,-89.0082,36.9076,-89.0082,0,0,0,0,0,39,0,0,0,EG,2025-04-02,19:08:00
2504021911-01,2025,04,02,2025-04-02,19:11:00,3,IN,18,0,61.0000,0,0,0,0,39.5800,-86.4800,39.5800,-86.4800,0,0,0,0,0,109,0,0,0,EG,2025-04-02,19:11:00
2504021913-01,2025,04,02,2025-04-02,19:13:00,3,AR,05,0,52.0000,0,0,0,0,35.0200,-90.7400,35.0200,-90.7400,0,0,0,0,0,123,0,0,0,EG,2025-04-02,19:18:00
2504021914-01,2025,04,02,2025-04-02,19:14:00,3,IN,18,0,56.0000,0,0,0,0,38.6500,-87.5000,38.6500,-87.5000,0,0,0,0,0,83,0,0,0,EG,2025-04-02,19:14:00
2504021915-01,2025,04,02,2025-04-02,19:15:00,3,IN,18,0,55.0000,0,0,10000,0,39.0400,-87.0800,39.0400,-87.0800,0,0,0,0,0,55,0,0,0,EG,2025-04-02,19:15:00
2504021915-02,2025,04,02,2025-04-02,19:15:00,3,IN,18,0,52.0000,0,0,0,0,38.7600,-87.4200,38.7600,-87.4200,0,0,0,0,0,83,0,0,0,EG,2025-04-02,19:15:00
2504021915-03,2025,04,02,2025-04-02,19:15:00,3,TN,47,0,54.0000,0,0,0,0,36.0400,-89.3600,36.0400,-89.3600,0,0,0,0,0,45,0,0,0,MG,2025-04-02,19:20:00
2504021918-01,2025,04,02,2025-04-02,19:18:00,3,IN,18,0,52.0000,0,0,2000,0,39.7900,-86.2500,39.7900,-86.2500,0,0,0,0,0,97,0,0,0,EG,2025-04-02,19:18:00
2504021918-02,2025,04,02,2025-04-02,19:18:00,3,IN,18,0,56.0000,0,0,0,0,39.7200,-86.2900,39.7200,-86.2900,0,0,0,0,0,97,0,0,0,MG,2025-04-02,19:18:00
2504021919-01,2025,04,02,2025-04-02,19:19:00,3,KY,21,0,60.0000,0,0,0,0,37.0000,-88.8900,37.0000,-88.8900,0,0,0,0,0,7,0,0,0,MG,2025-04-02,19:19:00
2504021920-01,2025,04,02,2025-04-02,19:20:00,3,IL,17,0,61.0000,0,0,5000,0,37.8524,-88.2471,37.8524,-88.2471,0,0,0,0,0,59,0,0,0,EG,2025-04-02,19:20:00
2504021920-02,2025,04,02,2025-04-02,19:20:00,3,MI,26,0,56.0000,0,0,0,0,42.0900,-84.6700,42.0900,-84.6700,0,0,0,0,0,75,0,0,0,EG,2025-04-02,19:22:00
2504021921-01,2025,04,02,2025-04-02,19:21:00,3,IN,18,0,55.0000,0,0,20000,0,39.8900,-86.3000,39.8900,-86.3000,0,0,0,0,0,97,0,0,0,EG,2025-04-02,19:21:00
2504021923-01,2025,04,02,2025-04-02,19:23:00,3,IN,18,0,60.0000,0,0,50000,0,39.7700,-86.1400,39.7700,-86.1400,0,0,0,0,0,97,0,0,0,EG,2025-04-02,19:23:00
2504021923-02,2025,04,02,2025-04-02,19:23:00,3,IN,18,0,55.0000,0,0,2000,0,39.9100,-86.1900,39.9100,-86.1900,0,0,0,0,0,97,0,0,0,EG,2025-04-02,19:23:00
2504021923-03,2025,04,02,2025-04-02,19:23:00,3,IN,18,0,70.0000,0,0,5000,0,39.6800,-86.1700,39.6800,-86.1700,0,0,0,0,0,97,0,0,0,MG,2025-04-02,19:23:00
2504021925-01,2025,04,02,2025-04-02,19:25:00,3,AR,05,0,56.0000,0,0,0,0,33.5800,-92.8500,33.5800,-92.8500,0,0,0,0,0,103,0,0,0,EG,2025-04-02,19:25:00
2504021925-02,2025,04,02,2025-04-02,19:25:00,3,IN,18,0,55.0000,0,0,25000,0,39.7800,-86.1500,39.7800,-86.1500,0,0,0,0,0,97,0,0,0,EG,2025-04-02,19:25:00
2504021930-01,2025,04,02,2025-04-02,19:30:00,3,TN,47,0,52.0000,0,1,0,0,36.4900,-88.8800,36.4900,-88.8800,0,0,0,0,0,131,0,0,0,EG,2025-04-02,19:35:00
2504021930-02,2025,04,02,2025-04-02,19:30:00,3,IN,18,0,50.0000,0,0,2000,0,39.6200,-86.1100,39.6200,-86.1100,0,0,0,0,0,81,0,0,0,EG,2025-04-02,19:30:00
2504021931-01,2025,04,02,2025-04-02,19:31:00,3,IN,18,0,54.0000,0,0,10000,0,39.8900,-85.9800,39.8900,-85.9800,0,0,0,0,0,97,0,0,0,EG,2025-04-02,19:31:00
2504021932-01,2025,04,02,2025-04-02,19:32:00,3,TN,47,0,52.0000,0,0,4000,0,36.2000,-89.1900,36.2000,-89.1900,0,0,0,0,0,45,0,0,0,EG,2025-04-02,19:37:00
2504021934-01,2025,04,02,2025-04-02,19:34:00,3,KY,21,0,65.0000,0,0,55000,0,36.7602,-88.6427,36.7602,-88.6427,0,0,0,0,0,83,0,0,0,EG,2025-04-02,19:34:00
2504021934-02,2025,04,02,2025-04-02,19:34:00,3,TN,47,0,70.0000,0,0,25000,0,36.4300,-88.8900,36.4300,-88.8800,0,0,0,0,0,131,0,0,0,EG,2025-04-02,19:36:00
2504021934-03,2025,04,02,2025-04-02,19:34:00,3,TN,47,0,64.0000,0,0,5000,0,36.1500,-89.1200,36.1500,-89.1200,0,0,0,0,0,53,0,0,0,EG,2025-04-02,19:36:00
2504021935-01,2025,04,02,2025-04-02,19:35:00,3,IN,18,0,50.0000,0,0,2000,0,39.9300,-85.9200,39.9300,-85.9200,0,0,0,0,0,57,0,0,0,EG,2025-04-02,19:35:00
2504021935-02,2025,04,02,2025-04-02,19:35:00,3,IN,18,0,76.0000,0,0,0,0,40.0800,-85.8500,40.0800,-85.8500,0,0,0,0,0,95,0,0,0,MG,2025-04-02,19:35:00
2504021936-01,2025,04,02,2025-04-02,19:36:00,3,KY,21,0,53.0000,0,0,0,0,37.6200,-88.0591,37.6200,-88.0591,0,0,0,0,0,225,0,0,0,MG,2025-04-02,19:36:00
2504021936-02,2025,04,02,2025-04-02,19:36:00,3,TN,47,0,52.0000,0,0,3000,0,36.1900,-89.0400,36.1900,-89.0400,0,0,0,0,0,53,0,0,0,EG,2025-04-02,19:41:00
2504021940-01,2025,04,02,2025-04-02,19:40:00,3,TN,47,0,69.0000,0,0,20000,0,36.2100,-89.0700,36.2100,-89.0700,0,0,0,0,0,131,0,0,0,EG,2025-04-02,19:42:00
2504021941-01,2025,04,02,2025-04-02,19:41:00,3,IN,18,0,52.0000,0,0,4000,0,39.2300,-86.6200,39.2300,-86.6200,0,0,0,0,0,105,0,0,0,EG,2025-04-02,19:41:00
2504021944-01,2025,04,02,2025-04-02,19:44:00,3,IN,18,0,59.0000,0,0,0,0,40.2800,-86.0400,40.2800,-86.0400,0,0,0,0,0,159,0,0,0,MG,2025-04-02,19:44:00
2504021947-01,2025,04,02,2025-04-02,19:47:00,3,IN,18,0,65.0000,0,0,250000,0,40.0900,-85.7500,40.0900,-85.7500,0,0,0,0,0,95,0,0,0,EG,2025-04-02,19:47:00
2504021949-01,2025,04,02,2025-04-02,19:49:00,3,KY,21,0,52.0000,0,0,0,0,37.8000,-87.7600,37.8000,-87.7600,0,0,0,0,0,101,0,0,0,MG,2025-04-02,19:49:00
2504021950-01,2025,04,02,2025-04-02,19:50:00,3,KY,21,0,61.0000,0,0,20000,0,37.1394,-88.4019,37.1394,-88.4019,0,0,0,0,0,139,0,0,0,EG,2025-04-02,19:50:00
2504021950-02,2025,04,02,2025-04-02,19:50:00,3,KY,21,0,56.0000,0,0,3000,0,36.6487,-88.6065,36.6487,-88.6065,0,0,0,0,0,83,0,0,0,EG,2025-04-02,19:50:00
2504021950-03,2025,04,02,2025-04-02,19:50:00,3,IN,18,0,70.0000,0,0,10000,0,40.1200,-85.7000,40.1200,-85.7000,0,0,0,0,0,95,0,0,0,MG,2025-04-02,19:50:00
2504021952-01,2025,04,02,2025-04-02,19:52:00,3,KY,21,0,65.0000,0,0,12000,0,36.9080,-88.3852,36.9080,-88.3852,0,0,0,0,0,157,0,0,0,EG,2025-04-02,19:52:00
2504021952-02,2025,04,02,2025-04-02,19:52:00,3,TN,47,0,52.0000,0,0,5000,0,36.3800,-88.9400,36.3800,-88.9400,0,0,0,0,0,183,0,0,0,EG,2025-04-02,19:57:00
2504021952-03,2025,04,02,2025-04-02,19:52:00,3,IN,18,0,69.0000,0,0,0,0,40.1500,-85.7500,40.1500,-85.7500,0,0,0,0,0,95,0,0,0,MG,2025-04-02,19:52:00
2504021952-04,2025,04,02,2025-04-02,19:52:00,3,IN,18,0,50.0000,0,0,2000,0,39.8800,-85.6100,39.8800,-85.6100,0,0,0,0,0,59,0,0,0,EG,2025-04-02,19:52:00
2504021956-01,2025,04,02,2025-04-02,19:56:00,3,KY,21,0,50.0000,0,0,0,0,37.8200,-87.6700,37.8200,-87.6700,0,0,0,0,0,101,0,0,0,MG,2025-04-02,19:56:00
2504021956-02,2025,04,02,2025-04-02,19:56:00,3,KY,21,0,56.0000,0,0,3000,0,36.5831,-88.6261,36.5831,-88.6261,0,0,0,0,0,83,0,0,0,EG,2025-04-02,19:56:00
2504021956-03,2025,04,02,2025-04-02,19:56:00,3,IN,18,0,56.0000,0,0,0,0,37.9838,-87.5624,37.9838,-87.5624,0,0,0,0,0,163,0,0,0,MG,2025-04-02,19:56:00
2504021956-04,2025,04,02,2025-04-02,19:56:00,3,TN,47,0,52.0000,0,0,3000,0,35.1432,-90.0045,35.1432,-90.0045,0,0,0,0,0,157,0,0,0,EG,2025-04-02,20:01:00
2504021957-01,2025,04,02,2025-04-02,19:57:00,3,IN,18,0,50.0000,0,0,4000,0,40.1100,-85.5000,40.1100,-85.5000,0,0,0,0,0,35,0,0,0,EG,2025-04-02,19:57:00
2504021958-01,2025,04,02,2025-04-02,19:58:00,3,IN,18,0,56.0000,0,0,15000,0,37.9557,-87.5355,37.9557,-87.5355,0,0,0,0,0,163,0,0,0,EG,2025-04-02,19:58:00
2504022000-01,2025,04,02,2025-04-02,20:00:00,3,IN,18,0,52.0000,0,0,5000,0,40.1900,-85.4900,40.1900,-85.4900,0,0,0,0,0,35,0,0,0,EG,2025-04-02,20:00:00
2504022000-02,2025,04,02,2025-04-02,20:00:00,3,KY,21,0,50.0000,0,0,0,0,38.1173,-85.6670,38.1173,-85.6670,0,0,0,0,0,111,0,0,0,EG,2025-04-02,20:00:00
2504022000-03,2025,04,02,2025-04-02,20:00:00,3,IN,18,0,56.0000,0,0,0,0,38.0500,-87.5200,38.0500,-87.5200,0,0,0,0,0,163,0,0,0,MG,2025-04-02,20:00:00
2504022001-01,2025,04,02,2025-04-02,20:01:00,3,IN,18,0,52.0000,0,0,5000,0,38.0107,-87.4726,38.0107,-87.4726,0,0,0,0,0,163,0,0,0,EG,2025-04-02,20:01:00
2504022002-01,2025,04,02,2025-04-02,20:02:00,3,IN,18,0,83.0000,0,0,55000,0,38.1286,-87.5946,38.1399,-87.5683,0,0,0,0,0,163,0,0,0,EG,2025-04-02,20:03:00
2504022002-02,2025,04,02,2025-04-02,20:02:00,3,IN,18,0,55.0000,0,0,10000,0,40.2100,-85.4100,40.2100,-85.4100,0,0,0,0,0,35,0,0,0,EG,2025-04-02,20:02:00
2504022002-03,2025,04,02,2025-04-02,20:02:00,3,IN,18,0,65.0000,0,0,15000,0,38.1157,-87.5814,38.1157,-87.5814,0,0,0,0,0,163,0,0,0,EG,2025-04-02,20:02:00
2504022003-01,2025,04,02,2025-04-02,20:03:00,3,IN,18,0,55.0000,0,0,0,0,37.9756,-87.4268,37.9756,-87.4268,0,0,0,0,0,173,0,0,0,MG,2025-04-02,20:03:00
2504022004-01,2025,04,02,2025-04-02,20:04:00,3,IN,18,0,61.0000,0,0,0,0,40.2300,-85.4000,40.2300,-85.4000,0,0,0,0,0,35,0,0,0,MG,2025-04-02,20:04:00
2504022005-01,2025,04,02,2025-04-02,20:05:00,3,IN,18,0,61.0000,0,0,10000,0,40.4000,-85.3000,40.4000,-85.3000,0,0,0,0,0,9,0,0,0,EG,2025-04-02,20:06:00
2504022006-01,2025,04,02,2025-04-02,20:06:00,3,IN,18,0,61.0000,0,0,10000,0,40.4000,-85.3000,40.4000,-85.3000,0,0,0,0,0,9,0,0,0,EG,2025-04-02,20:07:00
2504022008-01,2025,04,02,2025-04-02,20:08:00,3,IN,18,0,61.0000,0,0,1000,0,40.4000,-85.3100,40.4000,-85.3100,0,0,0,0,0,9,0,0,0,EG,2025-04-02,20:09:00
2504022010-01,2025,04,02,2025-04-02,20:10:00,3,IN,18,0,70.0000,0,0,20000,0,38.0600,-87.2995,38.0600,-87.2995,0,0,0,0,0,173,0,0,0,EG,2025-04-02,20:10:00
2504022010-02,2025,04,02,2025-04-02,20:10:00,3,TN,47,0,70.0000,0,0,15000,0,36.5000,-88.7200,36.5000,-88.7200,0,0,0,0,0,183,0,0,0,EG,2025-04-02,20:12:00
2504022011-01,2025,04,02,2025-04-02,20:11:00,3,IN,18,0,61.0000,0,0,25000,0,38.0421,-87.2693,38.0421,-87.2693,0,0,0,0,0,173,0,0,0,EG,2025-04-02,20:11:00
2504022012-01,2025,04,02,2025-04-02,20:12:00,3,IN,18,0,50.0000,0,0,2000,0,38.6300,-86.8500,38.6300,-86.8500,0,0,0,0,0,101,0,0,0,EG,2025-04-02,20:12:00
2504022013-01,2025,04,02,2025-04-02,20:13:00,3,IN,18,0,87.0000,0,0,0,0,40.3300,-85.3500,40.3300,-85.3500,0,0,0,0,0,35,0,0,0,MG,2025-04-02,20:13:00
2504022014-01,2025,04,02,2025-04-02,20:14:00,3,IN,18,0,50.0000,0,0,10000,0,40.1100,-85.1800,40.1100,-85.1800,0,0,0,0,0,135,0,0,0,EG,2025-04-02,20:14:00
2504022015-01,2025,04,02,2025-04-02,20:15:00,3,IN,18,0,55.0000,0,0,25000,0,38.6810,-86.8050,38.6810,-86.8050,0,0,0,0,0,101,0,0,0,EG,2025-04-02,20:15:00
2504022015-02,2025,04,02,2025-04-02,20:15:00,3,IN,18,0,54.0000,0,0,0,0,40.3700,-85.2100,40.3700,-85.2100,0,0,0,0,0,75,0,0,0,MG,2025-04-02,20:16:00
2504022021-01,2025,04,02,2025-04-02,20:21:00,3,IN,18,0,50.0000,0,0,1000,0,39.4900,-86.0600,39.4900,-86.0600,0,0,0,0,0,81,0,0,0,EG,2025-04-02,20:21:00
2504022022-01,2025,04,02,2025-04-02,20:22:00,3,IN,18,0,52.0000,0,0,4000,0,40.2900,-85.0300,40.2900,-85.0300,0,0,0,0,0,135,0,0,0,EG,2025-04-02,20:22:00
2504022022-02,2025,04,02,2025-04-02,20:22:00,3,IN,18,0,55.0000,0,0,10000,0,40.2200,-84.9800,40.2200,-84.9800,0,0,0,0,0,135,0,0,0,EG,2025-04-02,20:22:00
2504022023-01,2025,04,02,2025-04-02,20:23:00,3,IN,18,0,61.0000,0,0,10000,0,40.3600,-85.0200,40.3600,-85.0200,0,0,0,0,0,75,0,0,0,EG,2025-04-02,20:24:00
2504022024-01,2025,04,02,2025-04-02,20:24:00,3,IN,18,0,61.0000,0,0,20000,0,40.3800,-85.1500,40.3800,-85.1500,0,0,0,0,0,75,0,0,0,EG,2025-04-02,20:25:00
2504022027-01,2025,04,02,2025-04-02,20:27:00,3,IN,18,0,70.0000,0,0,75000,0,40.3400,-85.0400,40.3400,-85.0400,0,0,0,0,0,75,0,0,0,EG,2025-04-02,20:28:00
2504022027-02,2025,04,02,2025-04-02,20:27:00,3,IN,18,0,50.0000,0,0,2000,0,39.8600,-85.7700,39.8600,-85.7700,0,0,0,0,0,59,0,0,0,EG,2025-04-02,20:27:00
2504022028-01,2025,04,02,2025-04-02,20:28:00,3,KY,21,0,70.0000,0,0,75000,0,36.5447,-88.4251,36.5507,-88.4160,0,0,0,0,0,35,0,0,0,EG,2025-04-02,20:29:00
2504022031-01,2025,04,02,2025-04-02,20:31:00,3,KY,21,0,74.0000,0,0,90000,0,36.5830,-88.3412,36.5912,-88.3259,0,0,0,0,0,35,0,0,0,EG,2025-04-02,20:31:00
2504022033-01,2025,04,02,2025-04-02,20:33:00,3,IN,18,0,54.0000,0,0,0,0,38.2500,-86.9500,38.2500,-86.9500,0,0,0,0,0,37,0,0,0,MG,2025-04-02,20:33:00
2504022035-01,2025,04,02,2025-04-02,20:35:00,3,KY,21,0,65.0000,0,0,12000,0,37.3831,-87.6393,37.3831,-87.6393,0,0,0,0,0,107,0,0,0,EG,2025-04-02,20:35:00
2504022038-01,2025,04,02,2025-04-02,20:38:00,3,KY,21,0,56.0000,0,0,8000,0,37.3816,-87.4973,37.3816,-87.4973,0,0,0,0,0,107,0,0,0,EG,2025-04-02,20:38:00
2504022039-01,2025,04,02,2025-04-02,20:39:00,3,KY,21,0,65.0000,0,0,20000,0,36.8827,-87.9835,36.8827,-87.9835,0,0,0,0,0,221,0,0,0,EG,2025-04-02,20:39:00
2504022039-02,2025,04,02,2025-04-02,20:39:00,3,TN,47,0,52.0000,0,0,5000,0,35.8100,-89.2100,35.8100,-89.2100,0,0,0,0,0,33,0,0,0,EG,2025-04-02,20:44:00
2504022042-01,2025,04,02,2025-04-02,20:42:00,3,IN,18,0,61.0000,0,0,1000,0,40.6600,-84.9600,40.6600,-84.9600,0,0,0,0,0,1,0,0,0,EG,2025-04-02,20:43:00
2504022042-02,2025,04,02,2025-04-02,20:42:00,3,KY,21,0,70.0000,0,0,85000,0,36.7196,-88.1474,36.7196,-88.1474,0,0,0,0,0,35,0,0,0,EG,2025-04-02,20:42:00
2504022043-01,2025,04,02,2025-04-02,20:43:00,3,IN,18,0,50.0000,0,0,0,0,38.3400,-86.7600,38.3400,-86.7600,0,0,0,0,0,37,0,0,0,EG,2025-04-02,20:43:00
2504022050-01,2025,04,02,2025-04-02,20:50:00,3,IN,18,0,55.0000,0,0,10000,0,39.5700,-85.5700,39.5700,-85.5700,0,0,0,0,0,139,0,0,0,EG,2025-04-02,20:50:00
2504022050-02,2025,04,02,2025-04-02,20:50:00,3,OH,39,0,50.0000,0,0,5000,0,40.5500,-84.5400,40.5500,-84.5400,0,0,0,0,0,107,0,0,0,EG,2025-04-02,20:52:00
2504022051-01,2025,04,02,2025-04-02,20:51:00,3,OH,39,0,50.0000,0,0,5000,0,40.4900,-84.5500,40.4900,-84.5500,0,0,0,0,0,107,0,0,0,EG,2025-04-02,20:53:00
2504022054-01,2025,04,02,2025-04-02,20:54:00,3,IN,18,0,50.0000,0,0,2000,0,38.8500,-86.4800,38.8500,-86.4800,0,0,0,0,0,93,0,0,0,EG,2025-04-02,20:54:00
2504022057-01,2025,04,02,2025-04-02,20:57:00,3,IN,18,0,52.0000,0,0,20000,0,38.9000,-86.4300,38.9000,-86.4300,0,0,0,0,0,93,0,0,0,EG,2025-04-02,20:57:00
2504022058-01,2025,04,02,2025-04-02,20:58:00,3,KY,21,0,52.0000,0,0,0,0,37.7187,-86.6633,37.7187,-86.6633,0,0,0,0,0,91,0,0,0,EG,2025-04-02,20:58:00
2504022100-01,2025,04,02,2025-04-02,21:00:00,3,KY,21,0,61.0000,0,0,20000,0,36.8223,-87.8562,36.8088,-87.8431,0,0,0,0,0,221,0,0,0,EG,2025-04-02,21:00:00
